nombre,alpha_deg,CFL,dx_min,iteraciones,wall_s,its_per_s,t_fisico,cl_medio_ventana,cl_std_ventana,cd_medio_ventana,iter_conv_cl,t_conv_cl,converged_cl,iter_conv_cd,t_conv_cd,converged_cd,q_loop_025c,dcp_te_medio_ventana,cp_min,x_suction,chi_max,nan_en_cl
a0_cfl025_dx4,0,0.25,0.004,20000,1784.0,11.21,16.903782813482863,0.0002524076422560029,1.7001316822650084e-06,0.045515939872711894,0,0.0,True,1150,0.9719675117752646,True,0.0027241562355732876,0.0004635981284081936,-0.38158553251128136,0.19499507142071745,93.39872110920541,False
a0_cfl050_dx4,0,0.5,0.004,10000,910.7,10.98,16.924823606991286,0.0005606713923043572,1.6460602852650004e-05,0.04649164862930775,0,0.0,True,550,0.9308652983845207,True,0.005184905721190021,0.0005456918384879828,-0.3781956173214532,0.19499507142071745,94.33740099268631,False
a0_cfl075_dx4,0,0.75,0.004,7000,735.6,9.52,17.776671614405952,0.0006296811251169336,1.1559820365226383e-06,0.04749274480023554,0,0.0,True,350,0.8888335807202976,True,0.0059835570609526175,0.0005697931961289474,-0.3789795423028235,0.19499507142071745,94.41743897951748,False
a2_cfl025_dx4,2,0.25,0.004,20000,2061.1,9.7,15.876052607438687,0.18609705995768308,5.061681322920605e-06,0.048404244054108855,2000,1.5876052607438687,True,1400,1.1113236825207082,True,0.0027119944515239195,0.013998865254689009,-0.5687401863771966,0.12562814070351758,97.34632743630522,False
a2_cfl050_dx4,2,0.5,0.004,10000,1508.1,6.63,15.913879828383937,0.18101464323699473,2.211405589434717e-06,0.04955259980633855,950,1.5118185836964741,True,700,1.1139715879868755,True,0.005417475341377716,0.013502724515274168,-0.5557955468763895,0.12562814070351758,98.68349032180814,False
a2_cfl075_dx4,2,0.75,0.004,7000,939.8,7.45,16.706698217585853,0.17963016937885964,0.003979296504492022,0.05046433875603335,650,1.5513362630615435,True,450,1.0740020282733762,True,0.006172939533465489,0.013273358012416534,-0.5534469460233409,0.12562814070351758,98.7649617857147,False
a5_cfl025_dx4,5,0.25,0.004,20000,1982.5,10.09,13.763874891677558,0.4267484452575445,1.9852946627528557e-05,0.057954475097358224,8200,5.643188705587798,True,2550,1.7548940486888887,True,0.002720913366529267,0.0019516670610755682,-1.0770761526577886,0.014999620878516728,117.88662942671708,False
a5_cfl050_dx4,5,0.5,0.004,10000,954.8,10.47,14.11468280919298,0.41071275994181633,5.4103694006819576e-05,0.05968940937891602,5500,7.763075545056139,True,1200,1.6937619371031576,True,0.0055399629573723505,0.002062530256807804,-1.0246536324417732,0.029999241757033456,121.04124987146918,False
a5_cfl075_dx4,5,0.75,0.004,7000,767.9,9.12,14.819687573297164,0.40873278571026667,7.015047269897201e-06,0.060523737754140584,2800,5.927875029318866,True,800,1.6936785798053902,True,0.006160840711090763,0.002198833440031324,-1.0295309479959331,0.029999241757033456,120.76957759410195,False
a8_cfl025_dx4,8,0.25,0.004,20000,1840.2,10.87,12.648156001578327,0.5503060676157474,0.001986261508384337,0.10363550987094641,15900,10.05528402125477,True,14850,9.391255831171907,True,0.003497181781223352,0.013160177692770957,-1.510131786447787,0.01999949450468897,264.01420085902055,False
a8_cfl050_dx4,8,0.5,0.004,10000,996.5,10.04,13.045580733810406,0.5240539699792862,0.01349212999310427,0.10366743616759777,10000,13.045580733810404,False,7750,10.110325068703064,True,0.00616649730201399,0.011659247428178787,-1.4284246468940747,0.01999949450468897,274.5362597375904,False
a8_cfl075_dx4,8,0.75,0.004,7000,774.8,9.03,11.80960507075782,0.5293762364557811,0.01485224770751413,0.1052788280482803,5700,9.616392700474224,True,4900,8.266723549530475,True,0.006272644280071876,0.012793256235974175,-1.4272810188511513,0.01999949450468897,274.40820315840585,False
a10_cfl025_dx4,10,0.25,0.004,20000,1786.4,11.2,12.064732911577385,0.5508764557540416,0.019066112835012423,0.13600518442690374,20000,12.064732911577385,False,15850,9.561300832425077,True,0.004053686186469049,0.016980668529868126,-1.639575405090633,0.009999747252344485,447.5048414402281,False
a10_cfl050_dx4,10,0.5,0.004,10000,1026.3,9.74,10.093881705731805,0.511870551109314,0.008232429314040914,0.13653777502477168,8700,8.78167708398667,True,8300,8.377921815757398,True,0.004973086820446761,0.018688347563147543,-1.497153456337511,0.009999747252344485,486.91045771430316,False
a10_cfl075_dx4,10,0.75,0.004,7000,765.8,9.14,8.831745329713897,0.5075920096465519,0.006787485329716289,0.14278958312102727,6050,7.633151320681296,True,6100,7.696235215893537,True,0.004854587190877724,0.0172295229775565,-1.4514359208396266,0.009999747252344485,502.24797360359133,False
a0_cfl025_dx2,0,0.25,0.002,39000,4662.2,8.37,16.425257617528647,0.00012901373221934473,2.211428867382645e-06,0.030522946984722063,0,0.0,True,1200,0.5053925420778046,True,0.004893811696491562,0.0009417216747235029,-0.4153815359599338,0.21499456592540644,58.459004303330126,False
a0_cfl050_dx2,0,0.5,0.002,20000,2709.7,7.38,16.86584459439481,0.00020791252427443396,1.0833366825721601e-06,0.031116766040213406,0,0.0,True,600,0.5059753378318443,True,0.006141151653532852,0.0009481357410550117,-0.41325556239436373,0.21499456592540644,58.868340608162875,False
a0_cfl075_dx2,0,0.75,0.002,13000,1809.1,7.19,16.477313560242525,0.0002754378566840807,1.0741921130251873e-06,0.032388866162643984,0,0.0,True,400,0.5069942633920776,True,0.009066731648131592,0.0009388763170975905,-0.4051631199970583,0.21499456592540644,60.25453816967847,False
a2_cfl025_dx2,2,0.25,0.002,39000,4127.5,9.45,15.391601939127128,0.18475170615009773,5.872974958804359e-06,0.03227628275561027,9250,3.6505722547929724,True,1350,0.5327862209697852,True,0.004541576289394202,0.002183379605412483,-0.5892493151304097,0.1049973461496171,60.91531285419434,False
a2_cfl050_dx2,2,0.5,0.002,20000,3048.8,6.56,15.800446212718727,0.1812136432155967,0.004175447911107457,0.03287665429525077,18500,14.615412746764823,False,650,0.5135145019133587,True,0.0058951651347337874,0.002194454288110137,-0.5828757371854099,0.1049973461496171,61.31083182193288,False
a2_cfl075_dx2,2,0.75,0.002,13000,2387.4,5.45,15.459866622245796,0.1751780710541285,2.4006062838605507e-06,0.03416759427636862,2700,3.2108953753895118,True,450,0.5351492292315853,True,0.008612507495679904,0.0025419324206618164,-0.564614185895478,0.1049973461496171,62.63409638147142,False
a5_cfl025_dx2,5,0.25,0.002,39000,4131.1,9.44,12.491358057391603,0.45230135856530607,8.159370808816177e-06,0.04037331961668455,8550,2.7384900356589283,True,4950,1.5854415995920113,True,0.004019909226348296,0.017582887150824834,-1.211507882476295,0.014999620878516728,73.507923132262,False
a5_cfl050_dx2,5,0.5,0.002,20000,2608.3,7.67,13.242247435017166,0.44355124086141584,0.010878856968041412,0.04162829699926078,3550,2.350498919715547,True,2250,1.4897528364394312,True,0.005712793575448974,0.017695750086568297,-1.2038028700868761,0.014999620878516728,74.52936475308756,False
a5_cfl075_dx2,5,0.75,0.002,13000,1806.4,7.2,13.16024814437773,0.43236062675714493,8.71155476924085e-06,0.04318207416396875,2250,2.277735255757684,True,1450,1.4678738314882853,True,0.007980541214859655,0.017745379860011432,-1.1589473449912135,0.014999620878516728,75.79666251172648,False
a8_cfl025_dx2,8,0.25,0.002,39000,4132.8,9.44,10.640880020881571,0.7066112168324299,0.0007284716486925031,0.06237683297158816,24800,6.766508320970845,True,8750,2.387376927761891,True,0.0041293042845352915,0.025351853253176578,-2.1480700951600222,0.01507537688442211,117.94790215203291,False
a8_cfl050_dx2,8,0.5,0.002,20000,2737.0,7.31,11.310825373528195,0.6933281071484089,0.00037012307316560387,0.06388252414762974,12200,6.899603477852199,True,4150,2.3469962650071,True,0.005424345862327047,0.02441169924568385,-2.117219446563364,0.01507537688442211,120.46581105259013,False
a8_cfl075_dx2,8,0.75,0.002,13000,1820.0,7.14,11.058155502024174,0.6714908664043133,0.0005507901701496248,0.06659553443583158,7800,6.634893301214505,True,2700,2.29669383503579,True,0.007574398167014846,0.023805368942423508,-2.022467611192104,0.01507537688442211,124.7325253766652,False
a10_cfl025_dx2,10,0.25,0.002,39000,4254.7,9.17,10.731864532382755,0.702795147895813,0.0278980525263989,0.12109739462343547,39000,10.731864532382756,False,21950,6.040113499635935,True,0.005812014066669771,0.012158186389849735,-2.195290242599938,0.014999620878516728,300.0949794104207,False
a10_cfl050_dx2,10,0.5,0.002,20000,2716.9,7.36,9.519113450369606,0.7115234695374966,0.027963216926553264,0.12509538950398563,20000,9.519113450369606,False,10250,4.878545643314423,True,0.005853777449715936,0.012617123499512672,-2.1062221303696336,0.014999620878516728,301.744175919116,False
a10_cfl075_dx2,10,0.75,0.002,13000,1817.7,7.15,8.048715004803118,0.7684584466310648,0.022372322158504016,0.12695211573288992,11850,7.3367132928397645,False,7500,4.643489425847952,True,0.005556345836045015,0.015483621794443864,-2.0940747685020726,0.014999620878516728,271.1143732037769,False
