alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s
0.0,1385,1147,0.0466870860130127,0.097339305760605,2.0849299897079554,0.024304796010255814,0.06768874824047089,2.784995529767396,0.006466505115140843,0.011813659772742072,0.01678893954076445,0.007491824091327134,0.07218434675019732,-0.0027705534214328377,0.012140381816045792,0.03470689666438224,56,56,762.017635345459
1.0,1385,1147,0.04891510760145528,0.15088736665035998,3.0846782118878733,0.04193606972694397,0.16250568628311157,3.875081459498373,0.004150042315459202,0.008051791246877445,0.03353391182379601,0.007796544095235311,0.1688004184208171,-0.0030371917741446714,0.02066522795951566,0.08288161332333623,56,56,748.7090322971344
2.0,1385,1147,0.052644532306918075,0.2250980758773429,4.2758111054158325,0.046497248113155365,0.2310420125722885,4.96893949530145,0.00315049861201578,0.007422674229076496,0.03804527917845573,0.007942945389735268,0.23619993570574727,-0.003650689809755492,0.0229941122840955,0.11627462294799588,56,56,748.9528021812439
3.0,1385,1147,0.06234810414857098,0.3002343252301216,4.815452359460443,0.0594465397298336,0.305796355009079,5.144056431187251,0.0025043032852245664,0.007747008209544299,0.05016750627984319,0.00876783450986603,0.3101314441301765,-0.004565590516669206,0.02946767039485461,0.15278292680675365,56,56,748.3103387355804
4.0,1385,1147,0.07476192699479205,0.4327961429953575,5.788991273934209,0.07294531166553497,0.4838104546070099,6.63250925330681,0.0015268291020966826,0.0314204396886623,0.0631796328438999,0.009070586090806937,0.4911526485151938,-0.007375563373478005,0.036125109467353415,0.2418885425708579,56,56,752.7441997528076
5.0,1385,1147,0.08937293171350445,0.49347017386129927,5.521472378719505,0.09015979617834091,0.5197412371635437,5.764667392719785,0.0009825764706109423,0.01878647622624775,0.08243028818082393,0.008550582421275934,0.5294930822718391,-0.007174287887692986,0.04549043530104993,0.26115939719207304,56,56,756.3085157871246
6.0,1385,1147,0.10411467735788651,0.6065248740570885,5.8255463057547985,0.10602795332670212,0.6287609934806824,5.930143643754887,0.004424092360301537,0.04767680913573672,0.09626740461796804,0.00922877769113795,0.6349225679297436,-0.008669100091952712,0.05274809115455299,0.3131267339188954,56,56,760.6917812824249
7.0,1385,1147,0.11334032139607839,0.5977837219834328,5.2742370466236945,0.11464272439479828,0.6052136421203613,5.27912822479838,0.0011044312660137838,0.004646199533367569,0.10795450870523048,0.007296042724478052,0.6154765761986203,-0.00747034436954029,0.05762527571485426,0.30400311591454,56,56,755.7574751377106
8.0,1385,1147,0.12395148152219397,0.6688412555626461,5.395992426624506,0.12461801618337631,0.6539698243141174,5.247795177157981,0.002634112606374647,0.019931602736909467,0.1164058204309425,0.007803374737070956,0.6620703319204614,-0.008011005598805139,0.06210459758400673,0.3270296631608281,56,56,769.842182636261
9.0,1385,1147,0.1356102999831949,0.6995437634842736,5.158485480608497,0.12999609112739563,0.6538287997245789,5.029603536954272,0.0038407324238934394,0.026450495480729502,0.12395587579575744,0.007014296394598598,0.6658060132844229,-0.0076499078747676325,0.06548508609517802,0.32907805270482765,56,56,753.737241268158
10.0,1385,1147,0.1427296924271754,0.6847580256206649,4.797586360455777,0.13751791417598724,0.6532809138298035,4.750514998313409,0.004458717293481358,0.027592224410143397,0.13089480196774894,0.006680662605297936,0.6596798394549843,-0.007246945647365859,0.06878773228652343,0.32621644690380924,56,56,748.7621774673462
