alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s
-10.0,1385,1147,0.1033041567674705,-0.48094951042107176,-4.655664645747519,0.10038024187088013,-0.4794498085975647,-4.776336454880082,0.0037738215918201074,0.009475308531915617,0.08872770549663599,0.01115171295246494,-0.4878867288864319,0.010863494591079275,0.04993970922455046,-0.23851161714767632,28,28,366.14993476867676
-9.0,1385,1147,0.08806146601481098,-0.4194237579192434,-4.762852322361984,0.09110696613788605,-0.4440464377403259,-4.8739021456195,0.0023252394684197897,0.009124220260626169,0.08058279243054682,0.011263349377650547,-0.45709475246536024,0.010383987593647299,0.04592307090409868,-0.22335538243585648,28,28,359.62405467033386
-8.0,1385,1147,0.08484952045338494,-0.39285518654755186,-4.6300224732958934,0.08531589061021805,-0.41364187002182007,-4.848356701937533,0.0029258544728096485,0.010813167631389738,0.07148900627356745,0.013174318346318324,-0.42202619705776057,0.011375259745766031,0.04233166230994289,-0.20532546865599727,28,28,361.5938949584961
-7.0,1385,1147,0.08076059578784875,-0.33794042255197254,-4.184471638120568,0.07374152541160583,-0.3324044644832611,-4.50769715744103,0.004810377239033934,0.007523611780060909,0.06135927388309867,0.01217067852574208,-0.3423244310113991,0.009250750829099005,0.036764976204420374,-0.16653684009115005,28,28,358.1877865791321
-6.0,1385,1147,0.07427265388625008,-0.29974878260067533,-4.035789310285668,0.06775951385498047,-0.29634541273117065,-4.373487881943956,0.004858414248864338,0.006652759158124134,0.054355531805309235,0.013852490619137297,-0.308897533044015,0.008820460446265282,0.03410401121222326,-0.15003853629887487,28,28,360.55235981941223
-5.0,1385,1147,0.06781897454389504,-0.23140501230955124,-3.4120983672464265,0.06216935068368912,-0.23872876167297363,-3.839975149291804,0.0037735833641578905,0.005195857051263516,0.04800770362715876,0.013508562919907749,-0.24391274036649796,0.007045689475921,0.030758133273533255,-0.11843352544528848,28,28,355.7648582458496
-4.0,1385,1147,0.06130865296082837,-0.1562532947531768,-2.5486336301176107,0.05588247627019882,-0.15594474971294403,-2.7905840993683153,0.0037882339004110216,0.004889360038596701,0.04195681810110695,0.013855395427056246,-0.16349535946569624,0.004764948900984958,0.027906106764081597,-0.07936520528235563,28,28,360.53675293922424
-3.0,1385,1147,0.05584431918604033,-0.08423833708677973,-1.5084495310283448,0.050778429955244064,-0.08894818276166916,-1.7516922606718597,0.0034563696607992226,0.007471251551233025,0.03569848526255992,0.014224196398039934,-0.08796589414451625,0.0032531755977510124,0.024961340830299928,-0.04235635927338262,28,28,354.77872347831726
-2.0,1385,1147,0.053611016699246,-0.031275374216160605,-0.5833758831997765,0.05041128769516945,-0.03713066875934601,-0.7365546578351732,0.0032270425138543287,0.00680279790398864,0.034536201530643414,0.015384300707954173,-0.03737733239957829,0.0017257475511408037,0.024960251119298792,-0.017825792424218743,28,28,360.5769009590149
-1.0,1385,1147,0.05696868537259953,0.03985585777887276,0.6996099263691697,0.054533932358026505,0.04188010096549988,0.767964075844529,0.002942751622775922,0.005718342846752791,0.037256055232245414,0.016960779040485954,0.04351987360164421,-0.00011580534758890565,0.027108417136365685,0.02170203412702765,28,28,357.4050130844116
0.0,1385,1147,0.057182940122272284,0.09110537304409913,1.5932264561649276,0.05165481194853783,0.1060854122042656,2.053737264786781,0.0029448904214795617,0.008128625728077474,0.03597558500483375,0.01537606783658597,0.108981556195238,-0.0021600135416432833,0.02567582642070986,0.053410771326797356,28,28,362.8342888355255
1.0,1385,1147,0.05931631036634956,0.1407565591590745,2.37298237684936,0.05510365962982178,0.13976745307445526,2.5364459277912266,0.0032103451233953515,0.007947636879488343,0.03956194121230038,0.015487069616706914,0.14250399793727575,-0.0037584183278429224,0.027524505414503648,0.06937278980471641,28,28,363.9518165588379
2.0,1385,1147,0.06175323895045689,0.21157453528472356,3.426128554236072,0.05681615695357323,0.2253398597240448,3.966122874311599,0.0030648638965548613,0.007011213224697441,0.041790835486117145,0.014961056537807221,0.2320033780680391,-0.005783213146091716,0.028375946011962184,0.1131100824609737,28,28,361.98387932777405
3.0,1385,1147,0.070680331704872,0.2762135405625616,3.907926489591194,0.06799035519361496,0.2904690206050873,4.272209194641264,0.0022733013162485314,0.0077618290376847195,0.05086083568844249,0.016677917464234842,0.3007446647467397,-0.007567342076404409,0.03376937657633867,0.14658866133516765,28,28,360.0484993457794
4.0,1385,1147,0.0810769900147404,0.37522784088339123,4.628043552371295,0.0775342658162117,0.4014406204223633,5.17758975591442,0.002320699586742989,0.01321574700577779,0.06086021112525211,0.01628908639093248,0.4132564325194883,-0.010629093865408865,0.03857464875809229,0.2013136693270397,28,28,360.64995980262756
5.0,1385,1147,0.09299945086240768,0.4425661414861679,4.758803814239105,0.09292733669281006,0.4759015142917633,5.121221927030484,0.0019064351821424165,0.017376614548007166,0.0753483134116218,0.01740452640509729,0.48835247948590177,-0.012243802581392453,0.04637641990835955,0.23805433845225465,28,28,363.7633230686188
6.0,1385,1147,0.1022071870309966,0.5126548292381423,5.015839337038679,0.10129398107528687,0.554928183555603,5.478392473716203,0.003009194808042976,0.017808291548190053,0.0851934596271904,0.016224961379526684,0.5721956952519879,-0.014089395372179177,0.05070921050335854,0.2790531499399044,28,28,363.8841896057129
