dx_min,alpha,nx,ny,Cl_mean,Cl_final,Cl_std,Cd_mean,Cd_final,Cd_std,Ef_mean,Ef_final,Cl_p,Cl_v,Cd_p,Cd_v,Cl_bl,Cd_bl,Ef_bl,elapsed_s,its_per_s
0.0005,-10.0,2895,2343,-0.4852351312126432,-0.47586962580680847,0.014457233501110276,0.12760622586522782,0.12174542248249054,0.006060547842409793,-3.802597623450815,-3.9087270478300584,-0.4945116837925824,0.019039173452610365,0.10196485268764541,0.019558130227107434,-0.5648304855303395,0.10196485268764541,-5.539462575997791,397.5278241634369,5.031094374862509
0.0005,-9.0,2895,2343,-0.4627344618950571,-0.45164230465888977,0.013975699064141122,0.12107226146118981,0.11453498899936676,0.006166959141558856,-3.8219692629049344,-3.9432692891897583,-0.4697550982751648,0.01830006434707333,0.0941279849517141,0.02023758168782803,-0.5409832074346802,0.0941279849517141,-5.747315293238185,395.27088952064514,5.059821132857645
0.0005,-8.0,2895,2343,-0.4391517479504858,-0.4260580539703369,0.014173096398137042,0.1158310943948371,0.10863316804170609,0.006334956012662498,-3.7913113939296417,-3.9219886674644906,-0.4438533838771741,0.017345749437392696,0.08643361433128799,0.02199458362436964,-0.5053160099101235,0.08643361433128799,-5.846290402404297,403.53612637519836,4.956185752104007
0.0005,-7.0,2895,2343,-0.39508055256945745,-0.3823928236961365,0.013895994759774157,0.1097433159926108,0.10335815697908401,0.00590726697592225,-3.6000420526390773,-3.699686941723613,-0.39872567741951126,0.015870065351014786,0.08082289398635271,0.022405445405750065,-0.4559461792455133,0.08082289398635271,-5.641299844107311,405.43511486053467,4.9329718287671716
0.0005,-6.0,2895,2343,-0.3577927585159029,-0.3530205488204956,0.009854168893842054,0.10520524850913457,0.09989148378372192,0.005043856733164045,-3.4009021753780386,-3.5340404952321167,-0.36804751483537534,0.014499773477793142,0.07586542000327355,0.02386021924692019,-0.4092176986284533,0.07586542000327355,-5.393995032398104,404.1450057029724,4.948718830562281
0.0005,-5.0,2895,2343,-0.3026741849524634,-0.2985031008720398,0.006874182029121389,0.09769535517053944,0.09268371760845184,0.004407809864594864,-3.098143042973822,-3.220663872516258,-0.31100165398997437,0.012378900848793103,0.06825163368965839,0.024249379076193185,-0.34697601865235933,0.0759667020614507,-4.567475081012267,419.23393964767456,4.7706061243056945
0.0005,-4.0,2895,2343,-0.24850828253797122,-0.24735714495182037,0.00420345066107229,0.09117537843329566,0.0868481919169426,0.003874994244110734,-2.7256073603224036,-2.84815537885211,-0.2580245220360168,0.010330754628951876,0.060784726836347044,0.02594474247035108,-0.2831799455139671,0.07796285837613488,-3.632241703450049,395.4294843673706,5.057791791119744
0.0005,-3.0,2895,2343,-0.17368842022759573,-0.17223089933395386,0.004370655866151048,0.08230749065322536,0.07817544043064117,0.0036313886187574005,-2.1102383130518807,-2.2031330861098324,-0.18014288245722873,0.007405753830958518,0.05175969022421148,0.026257351157117633,-0.20295308105862425,0.06663367328532846,-3.0458035862674087,396.73521304130554,5.041145666572764
0.0005,-2.0,2895,2343,-0.1130660165633474,-0.11069584637880325,0.003140221687803658,0.07668982818722725,0.07226050645112991,0.0038062399570262724,-1.4743287243689331,-1.5318996754287533,-0.11583967577041454,0.004939357049872016,0.046362144430541014,0.02578881071742363,-0.1334448505675088,0.056848977916868756,-2.3473570758413196,396.7309558391571,5.041199761610842
0.0005,-1.0,2895,2343,-0.052114859755550115,-0.051404889672994614,0.0017917866693960584,0.0766899950270142,0.0722414031624794,0.003507472938654151,-0.6795522641146678,-0.7115710302218103,-0.05430926143898574,0.002523352025758052,0.04578367171005796,0.026251081175150657,-0.0637228055249282,0.05627018273310978,-1.1324435505597399,397.77318716049194,5.02799098721817
0.0005,0.0,2895,2343,-1.302145973016065e-05,-1.3113655768393073e-05,3.4933284138395984e-05,0.07528300636581012,0.07123827189207077,0.0035099612435396856,-0.00017296678704471034,-0.0001840816097877958,3.564938331457844e-05,5.521813711451169e-07,0.04495360057045997,0.02613109271995433,-5.251690890872851e-05,0.05531576718097838,-0.0009494021611759852,395.735543012619,5.053880136149977
0.0005,1.0,2895,2343,0.05201129083122526,0.05130172520875931,0.0017824947265187607,0.07668417293046202,0.07225625216960907,0.0035026219910095774,0.6782532671818684,0.7099970406482939,0.05417272245888634,-0.0025209021865555373,0.04578768688561435,0.026251125635590847,0.06350578081934691,0.05627419790866617,1.128506192525706,397.5886085033417,5.030325208583511
0.0005,2.0,2895,2343,0.11302361291434083,0.11066818982362747,0.0031277162995234625,0.07668331425104823,0.07225657254457474,0.003807967801965039,1.473900991607126,1.5316003226607073,0.11578455838910182,-0.0049383022236160895,0.04636060621402235,0.025786779122778755,0.133276599804634,0.0568474397003501,2.3444609028507086,397.0033736228943,5.037740565650107
0.0005,3.0,2895,2343,0.17363898349659784,0.17221678793430328,0.004299486756224575,0.08230596408247948,0.07815907150506973,0.003641925599312807,2.1096768069272938,2.2034139431036173,0.18008499369429232,-0.007404315215870021,0.0517392825425542,0.02625654095481215,0.20288680224413266,0.06661326560367119,3.0457417213449323,394.91972279548645,5.064320378437321
