revalidacion
1.000000 -0.003055
0.999615 -0.002940
0.998459 -0.002593
0.996534 -0.002016
0.993844 -0.001209
0.990393 -0.000175
0.986185 0.001060
0.981228 0.002447
0.975528 0.004042
0.969096 0.005752
0.961940 0.007646
0.954072 0.009737
0.945503 0.012032
0.936248 0.014524
0.926320 0.017161
0.915735 0.019873
0.904508 0.022623
0.892658 0.025383
0.880203 0.028135
0.867161 0.030786
0.853553 0.033138
0.839400 0.035101
0.824724 0.036896
0.809547 0.038701
0.793893 0.040251
0.777785 0.041357
0.761249 0.042104
0.744311 0.042585
0.726995 0.042991
0.709330 0.043804
0.691342 0.045279
0.673059 0.047105
0.654508 0.048813
0.635720 0.050225
0.616723 0.051502
0.597545 0.053021
0.578217 0.054897
0.558769 0.056683
0.539230 0.057908
0.519630 0.058568
0.500000 0.059019
0.480370 0.059203
0.460770 0.059167
0.441231 0.059161
0.421783 0.059296
0.402455 0.059402
0.383277 0.059293
0.364280 0.058978
0.345492 0.058464
0.326941 0.057749
0.308658 0.056800
0.290670 0.055691
0.273005 0.054495
0.255689 0.053249
0.238751 0.051969
0.222215 0.050625
0.206107 0.049194
0.190453 0.047657
0.175276 0.045969
0.160600 0.044036
0.146447 0.041860
0.132839 0.039467
0.119797 0.036899
0.107342 0.034185
0.095492 0.031328
0.084265 0.028316
0.073680 0.025150
0.063752 0.021801
0.054497 0.018306
0.045928 0.014844
0.038060 0.011491
0.030904 0.008444
0.024472 0.005761
0.018772 0.003938
0.013815 0.002352
0.009607 0.001431
0.006156 0.000658
0.003466 -0.000557
0.001541 -0.002391
0.000385 -0.003422
0.000000 -0.000230
0.000385 -0.003965
0.001541 -0.003876
0.003466 -0.003424
0.006156 -0.004124
0.009607 -0.005938
0.013815 -0.008123
0.018772 -0.009881
0.024472 -0.011902
0.030904 -0.012935
0.038060 -0.013915
0.045928 -0.014417
0.054497 -0.014857
0.063752 -0.015209
0.073680 -0.015454
0.084265 -0.015602
0.095492 -0.015657
0.107342 -0.015612
0.119797 -0.015468
0.132839 -0.015234
0.146447 -0.014924
0.160600 -0.014556
0.175276 -0.014144
0.190453 -0.013706
0.206107 -0.013260
0.222215 -0.012820
0.238751 -0.012398
0.255689 -0.011971
0.273005 -0.011467
0.290670 -0.010813
0.308658 -0.010047
0.326941 -0.009274
0.345492 -0.008496
0.364280 -0.007524
0.383277 -0.006158
0.402455 -0.004518
0.421783 -0.002766
0.441231 -0.000965
0.460770 0.000794
0.480370 0.002293
0.500000 0.003667
0.519630 0.005316
0.539230 0.007156
0.558769 0.008779
0.578217 0.009781
0.597545 0.010017
0.616723 0.009658
0.635720 0.009111
0.654508 0.008741
0.673059 0.008595
0.691342 0.008540
0.709330 0.008443
0.726995 0.008380
0.744311 0.008506
0.761249 0.008796
0.777785 0.009138
0.793893 0.009278
0.809547 0.008924
0.824724 0.007993
0.839400 0.006941
0.853553 0.006404
0.867161 0.006453
0.880203 0.006776
0.892658 0.007063
0.904508 0.007166
0.915735 0.007053
0.926320 0.006742
0.936248 0.006250
0.945503 0.005648
0.954072 0.005021
0.961940 0.004397
0.969096 0.003627
0.975528 0.002871
0.981228 0.001722
0.986185 0.000722
0.990393 -0.000443
0.993844 -0.001516
0.996534 -0.002352
0.998459 -0.002951
0.999615 -0.003310
1.000000 -0.003430
