alpha,cl,cd,ld,cl_ci95,cd_ci95,ld_ci95,cl_std,cd_std,n_samples,converged_clcd,t_conv_clcd,iters_efectivas,iters_programadas,cl_cp_discrepancy,cl_cp_discrepancy_flag,dx,Re,Lx,Ly,cx,wall_s
0.0,3.2e-05,0.013982,0.0023,9.7e-05,0.000577,0.0069,0.000156,0.000931,10,False,,850,26000,9e-05,False,0.002,100000.0,24.0,16.0,6.0,161.4
2.0,0.189805,0.018793,10.0999,0.007102,0.000331,0.4177,0.036955,0.001721,104,False,,26000,26000,0.0074,False,0.002,100000.0,24.0,16.0,6.0,4613.1
4.0,0.464889,0.030561,15.2119,0.005659,0.000448,0.2898,0.029446,0.00233,104,False,,26000,26000,0.0679,True,0.002,100000.0,24.0,16.0,6.0,4595.6
6.0,0.579553,0.04365,13.2773,0.004426,0.000464,0.1737,0.023029,0.002413,104,False,,26000,26000,0.04099,False,0.002,100000.0,24.0,16.0,6.0,4606.1
8.0,0.634159,0.084211,7.5306,0.006668,0.00105,0.1228,0.034695,0.005462,104,False,,26000,26000,0.08163,True,0.002,100000.0,24.0,16.0,6.0,5659.0
10.0,0.781021,0.175788,4.443,0.01125,0.001783,0.0783,0.050368,0.007982,77,False,,19450,26000,0.19919,True,0.002,100000.0,24.0,16.0,6.0,4119.8
