tag,Lx,Ly,cx,h,c_h,sigma,d_up,d_down,v_ind_teor,nx,ny,celdas,cl,cl_ci95,cd,cd_ci95,ld,ld_ci95,cl_std,cd_std,n_samples,converged_clcd,t_conv_clcd,iters_efectivas,cl_cp_discrepancy,cl_cp_discrepancy_flag,cl_audit_inst,eps_top,eps_bot,v_in_max,u_out_min,cp_wall_range,wall_s
A,8.0,5.0,2.0,2.5,0.4,0.0329,2.0,5.0,0.02666,,,,0.668009,0.007671,0.024114,0.000934,27.7022,1.1191,0.028224,0.003436,52,False,,13000,0.05434,True,0.696512,0.00362,0.00067,0.00153,0.94402,0.06846,1787.7
B,16.0,10.0,4.0,5.0,0.2,0.00822,4.0,11.0,0.01333,,,,0.673878,0.008012,0.021183,0.000705,31.8122,1.1239,0.029477,0.002593,52,False,,13000,0.08568,True,0.671173,0.00194,-0.00043,0.00048,0.98251,0.03411,2537.4
C,24.0,16.0,6.0,8.0,0.125,0.00321,6.0,17.0,0.00889,,,,0.680585,0.008458,0.021466,0.000992,31.705,1.5174,0.03112,0.00365,52,False,,13000,0.01583,False,0.625139,0.00021,-0.00021,0.00024,0.99666,0.02178,3030.4
D,40.0,24.0,10.0,12.0,0.0833,0.00143,10.0,29.0,0.00533,,,,0.67073,0.009271,0.022012,0.001078,30.4712,1.5504,0.03411,0.003966,52,False,,13000,0.07993,True,0.693119,-0.00023,0.00042,8e-05,0.99981,0.01424,3315.9
E,8.0,16.0,2.0,8.0,0.125,0.00321,2.0,5.0,0.02666,,,,0.629908,0.00926,0.026987,0.001204,23.3409,1.0962,0.034071,0.004429,52,False,,13000,0.03061,False,0.669075,-0.00147,0.00157,0.00123,0.94344,0.02606,1912.7
F,24.0,5.0,6.0,2.5,0.4,0.0329,6.0,17.0,0.00889,,,,0.694152,0.004049,0.019278,0.00046,36.0068,0.8843,0.014898,0.001692,52,False,,13000,0.05166,True,0.706101,0.02288,-0.01718,0.00011,0.99973,0.06831,3096.1
G,12.0,24.0,3.0,12.0,0.0833,0.00143,3.0,8.0,0.01777,,,,0.632658,0.011709,0.025528,0.001239,24.7831,1.2875,0.043079,0.004559,52,False,,13000,0.00762,False,0.633289,-0.00078,0.00089,0.00061,0.95984,0.01576,1998.7
