dx_grueso,alpha_deg,cd_medio,cl_medio,ef_medio,cd_final,cl_final,ef_final
0.004,0,0.0695786252617836,0.15060994029045105,2.1646006905683186,0.10211655497550964,-0.0562179870903492,-0.5505276505247539
0.004,1,0.0707438513636589,0.5013802647590637,7.087262781067961,0.06313258409500122,-0.392622709274292,-6.2190185132209646
0.004,2,0.08359808474779129,0.566560685634613,6.777196957847552,0.07757849246263504,-0.6411307454109192,-8.264284662655875
0.004,3,0.10712136328220367,0.9791697263717651,9.140751166433642,0.10738770663738251,0.15831688046455383,1.474255158452583
0.004,4,0.13234639167785645,1.0699098110198975,8.084163062217506,0.08439415693283081,-0.3885135352611542,-4.603559646556711
0.004,5,0.17305134236812592,1.7234907150268555,9.95941835204338,0.8927939534187317,9.85961627960205,11.043551809291618
0.004,6,0.23611284792423248,1.7489179372787476,7.4071273658092815,0.19510112702846527,0.30080151557922363,1.541772311419486
0.004,7,0.3077791929244995,2.0215399265289307,6.568150066677279,0.34483593702316284,0.8658444881439209,2.5108882085156967
0.004,8,0.38153234124183655,2.2759549617767334,5.965300226892445,0.5198437571525574,1.5536164045333862,2.9886218371522157
0.004,9,0.46290862560272217,2.440758228302002,5.27265661797521,0.6439664363861084,1.844251275062561,2.863893474654303
0.004,10,0.5389577150344849,2.613960027694702,4.850028035181665,0.7705175876617432,2.178774833679199,2.827676964897108
0.004,11,0.6497225165367126,2.819801092147827,4.340008265649346,0.9318106770515442,2.4583349227905273,2.6382343359374727
0.004,12,0.7335886359214783,2.961435317993164,4.036915476850639,0.9502311944961548,2.2447526454925537,2.3623226205311
0.003,0,0.03645622357726097,0.787129282951355,21.591081184895828,0.0352986603975296,0.7646145224571228,21.661290084272853
0.003,1,0.03452525660395622,-1.0461264848709106,-30.300324683207013,0.4881766736507416,-37.002506256103516,-75.79736651361672
0.003,2,nan,nan,nan,nan,nan,nan
0.003,3,0.07091416418552399,1.4737625122070312,20.782343402531094,0.08297998458147049,1.4175752401351929,17.08333940148428
0.003,4,0.08269470185041428,1.710301160812378,20.68211291100761,0.07470933347940445,1.759148359298706,23.546567441719453
0.003,5,0.1134767085313797,1.9073365926742554,16.808176914532375,0.1302489936351776,1.964309811592102,15.081189932983726
0.003,6,0.1602599322795868,2.09375,13.064712871257669,0.17243795096874237,2.172236442565918,12.597206301527422
0.003,7,0.21443738043308258,2.2553467750549316,10.51750758426531,0.27743497490882874,2.2723968029022217,8.190736599266122
0.003,8,0.2834809720516205,2.274630069732666,8.023925039026842,0.416991263628006,2.4683456420898438,5.919418120691929
0.003,9,0.3316749632358551,2.44256854057312,7.3643440455775435,0.4955715239048004,2.704021692276001,5.456370194497788
0.003,10,0.38067132234573364,2.523846387863159,6.629988233184924,0.5709471702575684,2.824782371520996,4.947537213025623
0.003,11,0.47986629605293274,2.701329469680786,5.62933777991945,0.7476312518119812,3.22049617767334,4.307599728968057
0.003,12,0.5711440443992615,2.902358293533325,5.081657284172634,0.8759253025054932,3.492548942565918,3.987268015407073
0.002,0,0.024289671331644058,0.8029753565788269,33.05830472612151,0.021915072575211525,0.9390646815299988,42.85017438601546
0.002,1,nan,nan,nan,nan,nan,nan
0.002,2,nan,nan,nan,nan,nan,nan
0.002,3,0.0442521832883358,1.542939305305481,34.86696453488152,0.021666957065463066,1.7306091785430908,79.87319923671544
0.002,4,0.05950036644935608,1.7161673307418823,28.84297077737502,0.04727468267083168,1.9555453062057495,41.365593500055674
0.002,5,0.5477223992347717,6.593685626983643,12.038371328606873,0.6887075304985046,8.370361328125,12.153724124471692
0.002,6,0.09537947922945023,2.206803798675537,23.137092134532693,0.06985350698232651,2.511925220489502,35.959901356492225
0.002,7,0.1229793131351471,2.3744163513183594,19.307445218115785,0.10386256873607635,2.691951274871826,25.918396854908373
0.002,8,0.18297632038593292,2.439077854156494,13.33001914680545,0.1798025518655777,2.720954179763794,15.133012026425567
0.002,9,0.22790643572807312,2.4792230129241943,10.878249247345883,0.2665938436985016,2.7608118057250977,10.355872316569233
0.002,10,0.2619476616382599,2.538646697998047,9.691427219166494,0.27707725763320923,2.6995129585266113,9.7428167926369
0.002,11,0.28688281774520874,2.70044207572937,9.413049191840178,0.35118311643600464,2.9996094703674316,8.541439864219795
0.002,12,0.40489596128463745,2.80584454536438,6.929791387550793,0.5400692820549011,3.1023502349853516,5.7443560262884565
0.0018,0,0.7060126662254333,-8.421789169311523,-11.928665833060855,2.817495584487915,-48.142120361328125,-17.08684855670432
0.0018,1,0.03009095788002014,1.1553349494934082,38.394754799764286,0.022702647373080254,1.3037970066070557,57.4292938255755
0.0018,2,0.0358164981007576,1.3679296970367432,38.192725966355944,0.019528988748788834,1.569348931312561,80.35996904396242
0.0018,3,-0.04514482244849205,1.2456248998641968,-27.591755428552002,4.009151935577393,44.526390075683594,11.106186742526376
0.0018,4,1.0874632596969604,12.998200416564941,11.95277201382151,1.4776384830474854,58.080177307128906,39.30608059648271
0.0018,5,-0.09381908923387527,-1.6428331136703491,17.510648707908913,-0.9559037089347839,-12.003270149230957,12.55698668917904
0.0018,6,0.10770340263843536,2.1193294525146484,19.677460512824485,0.09258584678173065,2.4368584156036377,26.319988424888358
0.0018,7,0.127232164144516,2.306661605834961,18.12954783363546,0.09278394281864166,2.6584577560424805,28.652131772830387
0.0018,8,0.14594373106956482,2.4506819248199463,16.791964319809093,0.09392520785331726,2.810471534729004,29.922441471922102
0.0018,9,0.15221266448497772,2.562603235244751,16.835676872982283,0.11850828677415848,2.8466126918792725,24.020368274364383
0.0018,10,0.17391662299633026,2.6498677730560303,15.236426095462674,0.13196636736392975,2.995633840560913,22.6999795508481
0.0018,11,0.29950252175331116,2.5874717235565186,8.639231844891512,0.3800181448459625,2.8687596321105957,7.549006990898884
0.0018,12,0.24453525245189667,2.94742488861084,12.053169672093137,0.22081401944160461,3.3404219150543213,15.127761921555496
