alpha_deg,Cd_mean_NoWALE,Cd_mean_WALE,Cd_final_NoWALE,Cd_final_WALE,Cl_mean_NoWALE,Cl_mean_WALE,Cl_final_NoWALE,Cl_final_WALE,Ef_mean_NoWALE,Ef_mean_WALE,Ef_final_NoWALE,Ef_final_WALE
0.0,0.0455815372988581,0.0482781407024179,0.0429895147681236,0.0455575734376907,0.2315831349364348,0.227748299815825,0.2336477041244506,0.2296530306339264,5.080634587158518,4.717420689824095,5.434992820567925,5.04094079874609
1.0,0.0505164678075483,0.0531866409416709,0.0475384257733821,0.0501240454614162,0.3185459056070873,0.3129307116780962,0.3204039931297302,0.3147173225879669,6.305783429289741,5.883633674502643,6.739894893808862,6.278769394825193
2.0,0.06238265601652,0.0646850324368902,0.0592909008264541,0.0614827461540699,0.4338593365890639,0.4224515716944422,0.4331263601779938,0.4211158752441406,6.95480706166422,6.530901443183254,7.305106755685238,6.849334188633415
3.0,0.064166278578341,0.0670437432293381,0.0605476722121238,0.0631781220436096,0.472865842282772,0.4630823880434036,0.4622673094272613,0.4520811140537262,7.369382372790207,6.9071678539685175,7.634766004013255,7.155659260363431
4.0,0.0685080750180142,0.0718552217419658,0.0635744705796241,0.0668336004018783,0.5218685439654759,0.510313059602465,0.5232967734336853,0.5104300379753113,7.6176208983868,7.101962073612602,8.23124075847835,7.637326657639795
5.0,0.0893149538231747,0.092266262908067,0.086247518658638,0.0890965014696121,0.6030649649245399,0.5898414956671851,0.6059547066688538,0.5919451713562012,6.7521164050365465,6.39281875169146,7.025763941884318,6.64386548957923
6.0,0.1204416171780654,0.1215918878359454,0.116921991109848,0.1177019625902175,0.7080236141170774,0.6841687283345631,0.7004256844520569,0.675338864326477,5.878562831569328,5.626762940449279,5.990538459048376,5.737702664123679
7.0,0.1474804548280579,0.1476552012775625,0.1456686854362487,0.1453394889831543,0.8021933500255857,0.7724214047193527,0.8049037456512451,0.7731190919876099,5.439319745527184,5.231250900991651,5.525578426418267,5.319401474414287
8.0,0.1501514257064887,0.1507043056190014,0.1473528146743774,0.1474207639694214,0.8296219323362622,0.800148851105145,0.8365141153335571,0.8038359880447388,5.525235131353205,5.3093960906997415,5.676946973711355,5.452664647779696
9.0,0.1623621024191379,0.1628194557768958,0.1569683104753494,0.1569446921348571,0.8582209178379604,0.8297806169305529,0.8458036184310913,0.8154261112213135,5.2858450651400295,5.096323488929751,5.388371804918661,5.195627199170558
10.0,0.1622799006955964,0.162590213652168,0.1513418853282928,0.1516518294811248,0.8938986616475242,0.8589792719909123,0.8617509603500366,0.8273855447769165,5.508375700354251,5.2830933221389405,5.6940678284845925,5.455823036278608
11.0,0.1678161743496145,0.1681630845580782,0.1540042906999588,0.1544921398162841,0.8446461664778846,0.8172761755330222,0.8066990375518799,0.780826210975647,5.033163041353914,4.860021316097832,5.2381594946828045,5.054148462854965
12.0,0.187172062162842,0.1872113410915647,0.175588384270668,0.1759581863880157,0.8878443964890071,0.8620643019676208,0.8503016233444214,0.8272466063499451,4.743466445951593,4.6047653787490725,4.8425847010112495,4.701381750580987
13.0,0.2114891361977373,0.2100244409271649,0.1927062571048736,0.1910213977098465,0.9324716989483152,0.9009851089545658,0.8856616616249084,0.855033278465271,4.409076114796158,4.289905998450064,4.595915435910927,4.47611256496003
14.0,0.2421840647501605,0.2399502614779131,0.2241978645324707,0.2213712036609649,0.96193257187094,0.9322123123066766,0.9092655777931212,0.8813443183898926,3.971906957888742,3.88502311506122,4.055638887057428,3.9812961388586543
15.0,0.2859811069709914,0.280476447726999,0.2572985291481018,0.2517251074314117,1.131262481212616,1.0821825138160162,1.0763375759124756,1.029206156730652,3.955724534374105,3.858372147059405,4.183224752493367,4.08861145092999
16.0,0.3641652858683041,0.3564834232841219,0.3341327309608459,0.3357113897800445,1.193637639284134,1.158960840531758,1.080530881881714,1.0902762413024902,3.277735922681544,3.251093220141266,3.233837280096728,3.2476593719886315
17.0,0.5390950473291534,0.5032442967806544,0.5790079236030579,0.5338000655174255,1.6457370562212807,1.504921989781516,1.7512447834014893,1.587673902511597,3.052777176074573,2.9904402283518694,3.024560998239577,2.9742857018434896
18.0,0.744063886148589,0.6794134059122631,0.7002674341201782,0.6481060981750488,1.996416266475405,1.8143828681537084,1.895138382911682,1.7498464584350586,2.6831248010291446,2.670513787871903,2.706306605979399,2.69993827146869
19.0,0.9635803401470184,0.8816036177533013,0.9191986918449402,0.8374101519584656,2.3857560583523343,2.179970017501286,2.265655040740967,2.067476511001587,2.4759285333575063,2.472732613163239,2.4648153449756656,2.4688935358215374
20.0,1.0485882333346777,0.9637002263750348,1.0216529369354248,0.9448286294937134,2.4871613553592136,2.27924884217126,2.423911094665528,2.242182493209839,2.371914233149121,2.365101490890659,2.372538664584424,2.3731102373679267
