revalidacion
1.000000 -0.052452
0.997540 -0.049700
0.990700 -0.042048
0.980370 -0.030492
0.966980 -0.017511
0.950440 -0.003487
0.930640 0.008743
0.907750 0.021433
0.882020 0.034845
0.853700 0.047077
0.823090 0.053859
0.790480 0.052982
0.756160 0.051477
0.720430 0.049192
0.683590 0.048417
0.645940 0.050607
0.607780 0.055339
0.569370 0.060771
0.530990 0.065375
0.492650 0.069699
0.454350 0.074398
0.416380 0.078513
0.378870 0.081009
0.342040 0.080883
0.306090 0.077973
0.271200 0.073577
0.237600 0.069286
0.205490 0.065082
0.175040 0.060588
0.146480 0.055627
0.119990 0.050006
0.095760 0.043657
0.073950 0.036674
0.054680 0.028996
0.038110 0.020989
0.024330 0.014053
0.013380 0.008160
0.005480 0.004239
0.000980 0.001895
0.000000 -0.000190
0.000980 -0.001822
0.005480 -0.002460
0.013380 -0.003185
0.024330 -0.005163
0.038110 -0.006908
0.054680 -0.008821
0.073950 -0.009824
0.095760 -0.009829
0.119990 -0.008957
0.146480 -0.007278
0.175040 -0.004957
0.205490 -0.002129
0.237600 0.001101
0.271200 0.004464
0.306090 0.007769
0.342040 0.011271
0.378870 0.015169
0.416380 0.019314
0.454350 0.023328
0.492650 0.026080
0.530990 0.025644
0.569370 0.021884
0.607780 0.016979
0.645940 0.013806
0.683590 0.016502
0.720430 0.026229
0.756160 0.039309
0.790480 0.051090
0.823090 0.053659
0.853700 0.046877
0.882020 0.034645
0.907750 0.021233
0.930640 0.008543
0.950440 -0.003687
0.966980 -0.017711
0.980370 -0.030733
0.990700 -0.042360
0.997540 -0.050059
1.000000 -0.052827
