alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s
0.0,1385,1147,0.04827814070241792,0.22774829981582506,4.717420689824095,0.045557573437690735,0.2296530306339264,5.04094079874609,0.0017029738052312803,0.005659693937131834,0.027441851937678174,0.017898364716973085,0.23356412646936936,-0.004619718588156783,0.02267010832732563,0.11447220394060628,28,28,373.30142545700073
1.0,1385,1147,0.053186640941670964,0.3129307116780962,5.883633674502643,0.050124045461416245,0.3147173225879669,6.278769394825193,0.0016872640834284904,0.005039638918625971,0.03290955293097857,0.016825812642893973,0.3196151188677053,-0.006585751423502421,0.024867682786936268,0.15651468372210142,28,28,360.0956361293793
2.0,1385,1147,0.06468503243689026,0.4224515716944422,6.530901443183254,0.0614827461540699,0.4211158752441406,6.849334188633415,0.002073806045041961,0.003748786115687677,0.04445758265448842,0.016770718134325246,0.42958282727155317,-0.009213657495448741,0.030614150394406833,0.21018458488805222,28,28,389.99575209617615
3.0,1385,1147,0.0670437432293381,0.4630823880434036,6.9071678539685175,0.06317812204360962,0.4520811140537262,7.155659260363431,0.0029305051720723485,0.00851600662883889,0.04943586813032351,0.013465331569740526,0.46189365154867795,-0.010088743375717425,0.03145059985003202,0.22590245408648027,28,28,388.63224482536316
4.0,1385,1147,0.07185522174196583,0.510313059602465,7.101962073612602,0.06683360040187836,0.5104300379753113,7.637326657639795,0.002980644683148204,0.006099214357628684,0.05264221688380259,0.013749718422640382,0.5215829075583569,-0.011386468990278488,0.033195967653221484,0.2550982192840392,28,28,365.95964002609253
5.0,1385,1147,0.09226626290806703,0.5898414956671851,6.39281875169146,0.08909650146961212,0.5919451713562012,6.64386548957923,0.002360532425210369,0.005307826545164029,0.0743498546340896,0.014747629457048748,0.6060925370148953,-0.01348650260429339,0.04454874204556917,0.29630301720530094,28,28,392.2561995983124
6.0,1385,1147,0.1215918878359454,0.6841687283345631,5.626762940449279,0.11770196259021759,0.675338864326477,5.737702664123679,0.0028274669562767035,0.006672495049653762,0.10328849609320152,0.014422750004817434,0.691442701480036,-0.015073710196135558,0.05885562304900948,0.3381844956419502,28,28,414.9981060028076
7.0,1385,1147,0.14765520127756254,0.7724214047193527,5.231250900991651,0.1453394889831543,0.7731190919876099,5.319401474414287,0.0023273409458917514,0.004189498939624412,0.13010482687677058,0.015222689855770473,0.791256139768451,-0.017254739044705668,0.07266375836627052,0.3870007003618727,28,28,388.3448119163513
8.0,1385,1147,0.1507043056190014,0.800148851105145,5.3093960906997415,0.1474207639694214,0.8038359880447388,5.452664647779696,0.0039755012583789036,0.004718808956854483,0.13272885882745705,0.015431203429846222,0.8262840156050983,-0.017789344168419076,0.07408003112865164,0.40424733571833965,28,28,399.1776211261749
9.0,1385,1147,0.1628194557768958,0.8297806169305529,5.096323488929751,0.15694469213485718,0.8154261112213135,5.195627199170558,0.004210967039566507,0.006051341078365044,0.14129625228688933,0.015516619431754447,0.8324242799847269,-0.01800053952623549,0.07840643585932189,0.4072118702292457,28,28,424.40406823158264
10.0,1385,1147,0.162590213652168,0.8589792719909123,5.2830933221389405,0.15165182948112488,0.8273855447769165,5.455823036278608,0.008911258050805509,0.02008145610845182,0.1352610284102576,0.01588987133664769,0.8451890884966995,-0.01779047462304924,0.07557544987345265,0.4136993069368251,28,28,444.8658471107483
11.0,1385,1147,0.1681630845580782,0.8172761755330222,4.860021316097832,0.15449213981628418,0.780826210975647,5.054148462854965,0.010915300051189812,0.030236753277928418,0.13987880910617587,0.014069142099994086,0.7949960034486798,-0.015872217160947704,0.07697397560308497,0.3895618931438661,28,28,460.35943126678467
12.0,1385,1147,0.18721134109156473,0.8620643019676208,4.6047653787490725,0.17595818638801575,0.8272466063499451,4.701381750580987,0.007450271970233588,0.019456154088560433,0.1602934496388183,0.014287417815252904,0.8405096647027986,-0.016551389565664185,0.0872904337270356,0.41197913756856724,28,28,449.3679828643799
13.0,1385,1147,0.2100244409271649,0.9009851089545658,4.289905998450064,0.1910213977098465,0.855033278465271,4.47611256496003,0.014132906801374823,0.036176504473844386,0.17627754586827052,0.013710358940133154,0.8676145830050416,-0.01648014947014604,0.09499395240420183,0.42556721676744774,28,28,421.7492687702179
14.0,1385,1147,0.23995026147791318,0.9322123123066766,3.88502311506122,0.22137120366096497,0.8813443183898926,3.9812961388586543,0.014072476378659722,0.038783479701438826,0.20795540354149974,0.012660635642721288,0.895942200741075,-0.01641391542063582,0.11030801959211052,0.43976414266021957,28,28,436.6170217990875
15.0,1385,1147,0.28047644772699903,1.0821825138160162,3.858372147059405,0.25172510743141174,1.0292061567306519,4.08861145092999,0.018860088820335498,0.03401333359308627,0.23923313901856785,0.013560194901430381,1.0630214312662818,-0.020637037452566516,0.12639666695999913,0.5211921969068576,28,28,419.9601833820343
16.0,1385,1147,0.3564834232841219,1.158960840531758,3.251093220141266,0.33571138978004456,1.0902762413024902,3.2476593719886315,0.012359818086852962,0.04489494447961169,0.3202627124795194,0.013300874524413973,1.0956844340516463,-0.02166869666809782,0.16678179350196667,0.5370078686917742,28,28,442.85605549812317
17.0,1385,1147,0.5032442967806544,1.504921989781516,2.9904402283518694,0.5338000655174255,1.5876739025115967,2.9742857018434896,0.05116642917240341,0.16181853677969738,0.5156927299437079,0.014569818252651445,1.6015894288073975,-0.027347050660311695,0.26513127409817966,0.7871211890735429,28,28,469.50941491127014
18.0,1385,1147,0.6794134059122631,1.8143828681537084,2.670513787871903,0.6481060981750488,1.7498464584350586,2.69993827146869,0.048937116349572436,0.13322191489517898,0.6291511673620941,0.01230850708008456,1.7585633464679775,-0.028858487905059887,0.32072983722108933,0.8648524292814588,28,28,573.591423034668
19.0,1385,1147,0.8816036177533013,2.179970017501286,2.472732613163239,0.8374101519584656,2.067476511001587,2.4688935358215374,0.026299594839690164,0.070261865453292,0.8323245470077487,0.01184608660028852,2.116248217304884,-0.032942439521621306,0.4220853168040186,1.0416528888916314,28,28,569.0508434772491
20.0,1385,1147,0.9637002263750348,2.2792488421712602,2.365101490890659,0.9448286294937134,2.242182493209839,2.3731102373679267,0.01925678571537795,0.05615231977127601,0.9287888196317038,0.011446111086070089,2.2674193460678573,-0.03505507396780733,0.47011746535888693,1.116182136050025,28,28,614.7233340740204
