caso,individuo,dominio,Lx,Ly,cx,fitness_ga,cl,cl_ci95,cd,cd_ci95,ld,ld_ci95,n_samples,converged_clcd,t_conv_clcd,iters_efectivas,cl_cp_discrepancy,wall_s
top1_B,top1,B,16.0,10.0,4.0,27.7455,0.673878,0.008012,0.021183,0.000705,31.8122,1.1239,52,False,,13000,0.08568,4481.6
top2_B,top2,B,16.0,10.0,4.0,27.2286,0.652483,0.00827,0.022108,0.000711,29.5141,1.0198,52,False,,13000,0.0517,2458.9
