alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s,Cl_bl,Cd_bl,Cd_p_bl,Cd_visc_bl,Ef_bl,Cl_inviscid,trans_x_upper,trans_x_lower
-10.0,1385,1147,0.12151600526911872,-0.628676563501358,-5.1736111807579785,0.11412503570318222,-0.5919831991195679,-5.187145795592169,0.007248363492013099,0.028572654835823653,0.10391224394299767,0.0104773422632417,-0.6045055985427424,0.010827648515037196,0.05719479310311969,-0.29683897501385265,28,28,521.7075700759888,-0.6756636915468816,0.6294839533847844,0.10391224394299767,0.5255717094417867,-1.0733612634822305,-1.1715583823650348,0.010050251256281407,0.020100502512562814
-9.0,1385,1147,0.11449999708150115,-0.6286031476088932,-5.489983961846333,0.11090638488531113,-0.6184214949607849,-5.576067560044427,0.004482376195460624,0.010217863204854571,0.09861117283183975,0.012458182053102923,-0.6315284373116142,0.012167120640530058,0.055534677442471335,-0.3096806583355421,28,28,518.2220139503479,-0.662609658873215,0.409027341000296,0.09861117283183975,0.31041616816845624,-1.6199642235474316,-1.0616053126862588,0.010050251256281407,0.02512562814070352
-8.0,1385,1147,0.10690213473779815,-0.5807820430823735,-5.432838591173822,0.10215142369270325,-0.5728783011436462,-5.60812840814638,0.003898243369717226,0.006893469293505454,0.08901746798496649,0.013174967157275444,-0.5841594181186387,0.011746876950986035,0.05109621757112096,-0.2862062705838263,28,28,514.5049386024475,-0.6107736860496438,0.16340746756131203,0.08901746798496649,0.07438999957634554,-3.7377342367812885,-0.9494052798524567,0.010050251256281407,0.03015075376884422
-7.0,1385,1147,0.09833190776407719,-0.5163091165678841,-5.250677306156194,0.09507336467504501,-0.5205537676811218,-5.475285001854546,0.0033465964597924505,0.0041720689557284045,0.08156075132290486,0.013359805251500581,-0.5316550317048881,0.010856975021460668,0.04746027828720272,-0.26039902834171375,28,28,517.5871970653534,-0.5469931462589839,0.1324411681380789,0.08156075132290486,0.05088041681517405,-4.130083975767311,-0.8351926788089188,0.010050251256281407,0.05527638190954774
-6.0,1385,1147,0.08872246529374804,-0.4612631659422602,-5.198944420841784,0.08878321945667267,-0.4973048269748688,-5.601338068367298,0.0033414060330186034,0.015461873165390423,0.07350714841808062,0.015409563107153672,-0.5094678841883148,0.010453243612073422,0.04445835576261715,-0.24950732028812067,28,28,523.4728615283966,-0.4857549452022724,0.11389314268239917,0.07350714841808062,0.04038599426431854,-4.265006072901525,-0.7192072411865409,0.010050251256281407,0.12562814070351758
-5.0,1385,1147,0.08037317251520497,-0.3785571753978729,-4.709994187752855,0.07759056985378265,-0.3895508050918579,-5.020594716934751,0.002938757635616009,0.008122010175305889,0.06306034891394088,0.01439342738175993,-0.39709090263469504,0.008475670910203782,0.038726888147850407,-0.19430761586224563,28,28,517.0294504165649,-0.40560672819934296,0.09541926731339581,0.06306034891394088,0.03235891839945493,-4.250784350158181,-0.6016934005472032,0.010050251256281407,0.3316582914572864
-4.0,1385,1147,0.07189534817423139,-0.3062601909041405,-4.259805379368198,0.0688026025891304,-0.3134921193122864,-4.556399140660016,0.00278800512467879,0.004931792234881828,0.05351066563904419,0.015100851617753685,-0.3207616907376507,0.007014470730695962,0.034305758628398936,-0.15687361000347738,28,28,519.6592926979065,-0.32832486060369637,0.08076723599928591,0.05351066563904419,0.02725657036024172,-4.065074860387685,-0.482899644789404,0.010050251256281407,0.5376884422110553
-3.0,1385,1147,0.06394364471946444,-0.20808885831918036,-3.2542539486467237,0.06089676171541214,-0.21500346064567566,-3.530622229970912,0.0028018713174622046,0.00431569918712504,0.045949484902319065,0.014824006946138458,-0.21877625406441958,0.0048807561077080916,0.030386745924228763,-0.10694774897835575,28,28,522.6336421966553,-0.2290085568265813,0.07051904564013053,0.045949484902319065,0.024569560737811472,-3.2474710164860565,-0.363077857482327,0.010050251256281407,0.6884422110552764
-2.0,1385,1147,0.05892322491854429,-0.134473446224417,-2.282180692083871,0.05568931624293327,-0.1374017745256424,-2.4672914626255276,0.0025002518078109863,0.001803946721856764,0.04056093718727886,0.015060213819712006,-0.1410441429900535,0.0031422584775991982,0.02781057550349543,-0.06895094225622715,28,28,522.0602326393127,-0.15062389679504726,0.061060477188664794,0.04056093718727886,0.020499540001385937,-2.466798553336706,-0.24248264992688018,0.9246231155778895,0.7537688442211056
-1.0,1385,1147,0.05937798414379358,-0.049910275265574455,-0.8405518642180323,0.05584292113780975,-0.04369569942355156,-0.7824751738133263,0.002515879382776081,0.0033432633441403286,0.04049015630527124,0.015433052643535646,-0.04531013864980263,0.0011710317353853324,0.02796160447440344,-0.022069553457208648,28,28,523.9526152610779,-0.06281670707938637,0.060650644022018724,0.04049015630527124,0.02016048771674749,-1.0357137684569562,-0.12137068576763291,0.8994974874371859,0.8190954773869347
0.0,1385,1147,0.05890190667871918,-3.410753216875102e-05,-0.000579056504143249,0.05605590343475342,-4.018090112367645e-05,-0.000716800527003284,0.0022790654652742083,2.56495812941184e-05,0.04062381558785685,0.015228366185552306,5.028089026649571e-06,-1.0986117778303758e-08,0.02792609088670458,2.5085514544356336e-06,28,28,517.4324073791504,8.20424611447379e-06,0.06002968941849593,0.04062381558785685,0.019405873830639086,0.00013666980778924296,-4.596581351168696e-17,0.8542713567839196,0.8542713567839196
1.0,1385,1147,0.05937942782683032,0.049885484256914685,0.8401139263651537,0.055841635912656784,0.04365141689777374,0.7817001809554783,0.002515826817539128,0.0033365766059685912,0.04048912753829341,0.015432980034544522,0.045375793224684866,-0.001170985304654101,0.027961053786418964,0.022102403960015383,28,28,517.2941014766693,0.06295272651093166,0.060649615255040895,0.04048912753829341,0.020160487716747482,1.0379740456094542,0.12137068576763285,0.8190954773869347,0.8994974874371859
2.0,1385,1147,0.05892552289047411,0.13448702916502953,2.2823222021296763,0.05570080131292343,0.1374059021472931,2.466856829857003,0.002500418378560479,0.001815188010205969,0.04056817624109529,0.015061148893267814,0.14109196405103042,-0.0031428940520051556,0.02781466256718155,0.06897453499951263,28,28,521.7838006019592,0.1507458927456111,0.06106771624248122,0.04056817624109529,0.02049954000138593,2.4685038514793196,0.24248264992688015,0.7537688442211056,0.9246231155778895
3.0,1385,1147,0.06394854267793042,0.2081469643328871,3.254913335260753,0.06090598180890083,0.21511857211589813,3.531977742200366,0.002801269758349064,0.004336566287823194,0.0459550976936768,0.014824830954178556,0.2188869509206063,-0.004882433125728851,0.030389964323927675,0.10700225889743872,28,28,515.6887667179108,0.22920574150795264,0.07052465843148828,0.0459550976936768,0.02456956073781149,3.250008530429344,0.36307785748232696,0.6884422110552764,0.010050251256281407
