alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s,Cl_bl,Cd_bl,Cd_p_bl,Cd_visc_bl,Ef_bl,Cl_inviscid,trans_x_upper,trans_x_lower
-10.0,1385,1147,0.16040814934032305,-0.7301327075277056,-4.551718291934477,0.15240368247032166,-0.6911745667457581,-4.5351566021402006,0.009514507850545488,0.04484067060792065,0.14029484436029588,0.011440539311263894,-0.7003620450418565,0.012667906812336784,0.07586769183577989,-0.3438470691147599,28,28,667.1687653064728,-0.819096743175824,0.29954735582943715,0.14029484436029588,0.15925251146914124,-2.734448250787496,-0.8265673531531988,0.010050251256281407,0.04020100502512563
-8.0,1385,1147,0.1163493815277304,-0.6040279992989132,-5.191501590878253,0.10608496516942978,-0.5455106496810913,-5.142205107103053,0.008064336920469352,0.043418959404633764,0.09408719471029345,0.01172825788489454,-0.5545759189167029,0.010553000699877765,0.05290772629759399,-0.27201145910841257,28,28,638.4825510978699,-0.688558810978273,0.12363202616287411,0.09408719471029345,0.029544831452580668,-5.569421066279044,-0.6120608629891121,0.010050251256281407,0.06030150753768844
-6.0,1385,1147,0.08587507318173136,-0.4601548473749842,-5.358421603917483,0.08038343489170074,-0.42959079146385193,-5.344270147731711,0.005212613605474195,0.031935593494958,0.06563839260024634,0.014415826907722635,-0.4367495525720113,0.008630766219289028,0.04002710975398449,-0.21405939317636113,28,28,634.8862791061401,-0.5322962160423256,0.08671045200131046,0.06563839260024634,0.021072059401064117,-6.138778010686427,-0.3910101617735093,0.010050251256281407,0.11557788944723618
-4.0,1385,1147,0.06082545274070331,-0.26079342301402775,-4.287570601829806,0.056455712765455246,-0.23504561185836792,-4.163362755419683,0.0031653867328111686,0.021002845552242123,0.04064098806626451,0.015538370691149673,-0.2385321540282823,0.005141514253450481,0.028089679378707093,-0.11669531988741591,28,28,4707.664582967758,-0.31235036561770435,0.058797860415115984,0.04064098806626451,0.018156872348851473,-5.312274348292512,-0.1652747101232441,0.010050251256281407,0.271356783919598
-2.0,1385,1147,0.04503370741648333,-0.035952898540667126,-0.7983552899201803,0.041469745337963104,-0.015946777537465096,-0.3845400401546899,0.0022278200375444287,0.014917853899477973,0.025645860934524027,0.015523008597193057,-0.015727665769698775,0.0008482144172807758,0.020584434765858542,-0.007439725676209,28,28,697.226936340332,-0.07013115625327207,0.03695037257797805,0.025645860934524027,0.011304511643454019,-1.8979823844880348,0.06323421597283617,0.8994974874371859,0.5477386934673367
0.0,1385,1147,0.042362894862890244,0.16830838844180107,3.97301433215412,0.03974984958767891,0.17849646508693695,4.490494100945346,0.001439133557580704,0.008427691007856824,0.024444244541767635,0.015055766641395294,0.18105587603165005,-0.002852998896990742,0.019750005591581465,0.08910143856732965,28,28,624.4687728881836,0.15450435876846313,0.035058117546977643,0.024444244541767635,0.010613873005210007,4.407092267901388,0.2925737808698295,0.7788944723618091,0.9597989949748744
2.0,1385,1147,0.052653763975415914,0.3768871341432844,7.157838408651152,0.04974723979830742,0.3749749958515167,7.537604043396087,0.001847037460109391,0.0035255425719730353,0.03575499031053573,0.013908401689553276,0.38203699366711613,-0.00669253492539363,0.024831696000044503,0.18767222937086125,28,28,587.2955718040466,0.38347050283171724,0.04742002430971133,0.03575499031053573,0.011665033999175603,8.086678748352831,0.5207901921859002,0.6231155778894473,0.9949748743718593
4.0,1385,1147,0.06065062207302877,0.4713275283575058,7.771190339811937,0.05594439059495926,0.4573376774787903,8.174862083849344,0.0034359100191667575,0.008739001977178112,0.04506108113558781,0.010734114802474963,0.4655836244136109,-0.008191689880561352,0.027897597969031386,0.22869596726652477,28,28,562.2390360832214,0.5083924561718379,0.05984524694292933,0.04506108113558781,0.014784165807341524,8.495118361808416,0.7459394260270555,0.4472361809045226,1.0
6.0,1385,1147,0.09768370618777615,0.6302875322954995,6.4523302492629195,0.09337493032217026,0.620335042476654,6.643486001395883,0.003727091764006272,0.008680293154802184,0.08196133602946933,0.011285493856473056,0.6313071093604754,-0.011215391934863707,0.04662341494297119,0.3100458587128058,28,28,553.2162916660309,0.6630547479617045,0.1058393504528113,0.08196133602946933,0.023878014423341976,6.264728053648901,0.9661078482772903,0.2864321608040201,0.010050251256281407
8.0,1385,1147,0.12193427022014346,0.7318240766014371,6.00179158230235,0.1158396452665329,0.7180902361869812,6.199002375523018,0.0059485290737595,0.014871055721743437,0.10391968134297344,0.01179352659283409,0.7306019927160177,-0.012953258986038073,0.057856603967903764,0.3588243668649898,28,28,558.5995721817017,0.7690365190362994,0.13692885819772221,0.10391968134297344,0.03300917685474879,5.616321710108966,1.1794325068487783,0.1658291457286432,0.010050251256281407
10.0,1385,1147,0.13545348654900277,0.7856985671179635,5.800504565334482,0.12579979002475739,0.763122022151947,6.066162924451342,0.009245187328818669,0.025790182802891776,0.11374464205815282,0.01182383981084714,0.7762960455217696,-0.012926337802649245,0.06278424093449998,0.38168485385956014,28,28,567.1876213550568,0.8218998607751531,0.16599800897707354,0.11374464205815282,0.05225336691892072,4.951263366590548,1.3841208733870385,0.10050251256281408,0.010050251256281407
