dx_min,alpha,nx,ny,Cl_mean,Cl_final,Cl_std,Cd_mean,Cd_final,Cd_std,Ef_mean,Ef_final,Cl_p,Cl_v,Cd_p,Cd_v,Cl_bl,Cd_bl,Ef_bl,elapsed_s,its_per_s
0.0005,-10.0,2895,2343,-0.4843683881419046,-0.47494736313819885,0.01445574425016028,0.1277479146208082,0.12191438674926758,0.00603501152800028,-3.7915952646244473,-3.8957450043610393,-0.4938592891566959,0.019390490863439164,0.10181660090847115,0.019857137119916053,-0.564548142780983,0.10181660090847115,-5.544755351718018,453.620881319046,4.408968110516359
0.0005,-9.0,2895,2343,-0.46192763639347895,-0.4508293867111206,0.014029592293376091,0.12123239146811622,0.11472491919994354,0.006158875353531449,-3.8102658109731724,-3.9296552994333465,-0.4692686261203459,0.018645298048388378,0.09401772054893791,0.02053262878076914,-0.540714579916376,0.09401772054893791,-5.751198569368892,453.70335698127747,4.408166634047039
0.0005,-8.0,2895,2343,-0.4382978209427425,-0.42517897486686707,0.014187827462651773,0.11598664575389453,0.10880745202302933,0.006319384219837291,-3.7788645243931076,-3.9076273450174814,-0.4432416683203657,0.017671349360212085,0.08630722430136864,0.02228764965434846,-0.5049878332649517,0.08630722430136864,-5.851049403484798,451.02714800834656,4.434322875755117
0.0005,-7.0,2895,2343,-0.3943255032811846,-0.3815653920173645,0.013927968858926259,0.10990087954061371,0.10351932793855667,0.0058985181302601735,-3.588010441130839,-3.6859338214003916,-0.3981861218454585,0.016174837899885573,0.08070218013890079,0.02268977630036876,-0.4556678889083488,0.08070218013890079,-5.646289705235654,451.14011693000793,4.43321248753032
0.0005,-6.0,2895,2343,-0.35693429729768206,-0.351942241191864,0.009949922827780193,0.10534611264509815,0.10001782327890396,0.00505272979159992,-3.3882056806420806,-3.5187952472276676,-0.36738589199123706,0.014778106872013235,0.07573548361682685,0.024144675035315304,-0.40885014461876357,0.07573548361682685,-5.398396169057084,451.3249135017395,4.431397293099557
0.0005,-5.0,2895,2343,-0.30206659010478426,-0.29784196615219116,0.006907041760822383,0.09787079026656491,0.09286504238843918,0.004401926672759353,-3.0863814349722043,-3.2072560189696278,-0.3105423753909877,0.012617390859993437,0.06814362260246076,0.024523184211674858,-0.34674008084045616,0.07585869097425307,-4.570868233913263,453.40557837486267,4.411061741164679
0.0005,-4.0,2895,2343,-0.24795243569782802,-0.24674640595912933,0.004244610692291545,0.09135402685829572,0.0870332196354866,0.003873563656337939,-2.714192731563336,-2.835083052109931,-0.2576071416556723,0.010521661636063986,0.0607080209567572,0.026210945310045333,-0.28294659689908097,0.07788615249654504,-3.6328228809560494,451.01991724967957,4.4343939668917605
0.0005,-3.0,2895,2343,-0.17341625850115502,-0.171920046210289,0.004402683936212643,0.08252820931375027,0.07839339226484299,0.0036266570537199904,-2.1012967558992175,-2.1930425670249996,-0.1798783126618569,0.007538464433241069,0.05171771443799204,0.026511537465410167,-0.2028883944832774,0.06659169749910902,-3.0467521042843515,452.8210697174072,4.416755609998765
0.0005,-2.0,2895,2343,-0.11291383100407464,-0.11050538718700409,0.0031500142911265565,0.07693147579474109,0.07249990105628967,0.0038005161472538774,-1.4677195496072004,-1.524214317219641,-0.11574395939904208,0.005024499460972272,0.04636520667026592,0.02603175721408836,-0.13342108280174952,0.05685204015659366,-2.346812575841668,450.97276544570923,4.434857608359882
0.0005,-1.0,2895,2343,-0.052122710937900205,-0.05142602324485779,0.001791638618646987,0.0769187965031181,0.07248631119728088,0.0035032101220187255,-0.6776329493895199,-0.709458412153092,-0.054348939837269766,0.002562933039827789,0.045780042228547584,0.026499390193268576,-0.06377717903009547,0.056266553251599405,-1.1334829546944494,453.25619077682495,4.41251557220266
