x_les,Cp_upper_LES,Cp_lower_LES,x_inv,Cp_upper_inv,Cp_lower_inv
0.0,-0.12370717525482178,-0.5102930068969727,0.0,-198.38281273548023,-183.0675933881876
0.005025125574320555,0.03718113899230957,-0.6962432265281677,0.005025125628140704,-51.863451602858966,-37.87440781891854
0.01005025114864111,0.0031943328212946653,-0.7873274087905884,0.010050251256281407,-35.03644139692594,-20.470278624205296
0.015075377188622952,0.005281021818518639,-0.8465167880058289,0.01507537688442211,-26.983713157643663,-12.739509814394246
0.02010050229728222,0.17131991684436798,-0.898671567440033,0.020100502512562814,-20.53706838811668,-7.40170576434458
0.02512562833726406,0.29268109798431396,-0.9250286817550659,0.02512562814070352,-17.196118756708948,-5.368082708854822
0.030150754377245903,0.36788544058799744,-0.9510812759399414,0.03015075376884422,-14.023088026400595,-3.43975145806636
0.035175878554582596,0.4026670455932617,-0.9721376895904541,0.035175879396984924,-13.032565782138757,-2.879939508959901
0.04020100459456444,0.42241302132606506,-1.0013341903686523,0.04020100502512563,-12.042043537876918,-2.320127559853442
0.04522613063454628,0.44542890787124634,-1.0286476612091064,0.04522613065326633,-11.094289802415059,-1.8084790763554137
0.05025125667452812,0.4522145688533783,-1.0423394441604614,0.05025125628140704,-10.159201214262982,-1.311093362451091
0.055276382714509964,0.46006473898887634,-1.0544521808624268,0.05527638190954774,-9.28198004961302,-0.8476695688087567
0.060301508754491806,0.45787015557289124,-1.0504599809646606,0.06030150753768844,-8.866332801271438,-0.6551397530209179
0.06532663106918335,0.46054738759994507,-1.0610634088516235,0.06532663316582915,-8.450685552929855,-0.4626099372330785
0.07035175710916519,0.4545601010322571,-1.0299222469329834,0.07035175879396985,-8.038670305735868,-0.2741370945026311
0.07537688314914703,0.4547189772129059,-0.9996214509010315,0.07537688442211056,-7.658781086422044,-0.12154927059633847
0.08040200918912888,0.4576694071292877,-0.9888902902603149,0.08040201005025126,-7.278891867108222,0.031038553309953698
0.08542713522911072,0.46321994066238403,-0.9948429465293884,0.08542713567839195,-6.8990026477944,0.18362637721624592
0.09045226126909256,0.46144241094589233,-0.9728462100028992,0.09045226130653267,-6.587815494805413,0.28726823826102277
