x_les,Cp_upper_LES,Cp_lower_LES,x_inv,Cp_upper_inv,Cp_lower_inv
0.0,0.0699986144900322,0.19192931056022644,0.0,-25.23880415316457,-19.19035165588778
0.005025125574320555,-0.045385513454675674,0.2752341330051422,0.005025125628140704,-7.634815533740852,-2.1101106705065322
0.01005025114864111,-0.12618358433246613,0.3057745099067688,0.010050251256281407,-5.9241795826765795,-0.1715526303256848
0.015075377188622952,-0.18551723659038544,0.31672295928001404,0.01507537688442211,-5.08851875756794,0.5369564856857431
0.02010050229728222,-0.22507517039775848,0.31599265336990356,0.020100502512562814,-4.289114467149889,0.8984453753041128
0.02512562833726406,-0.2617751955986023,0.30835115909576416,0.02512562814070352,-3.720847762250825,0.9504084926698297
0.030150754377245903,-0.2758941650390625,0.29739102721214294,0.03015075376884422,-3.181224000838738,0.998462038563456
0.035175878554582596,-0.2955706715583801,0.2895506024360657,0.035175879396984924,-3.0138839240886957,0.9957013350856342
0.04020100459456444,-0.3102000057697296,0.2807898223400116,0.04020100502512563,-2.846543847338654,0.9929406316078125
0.04522613063454628,-0.31540989875793457,0.27150171995162964,0.04522613065326633,-2.6914944950514363,0.9757585688234309
0.05025125667452812,-0.3290880024433136,0.2623375356197357,0.05025125628140704,-2.5400848262657796,0.9543058722210896
0.055276382714509964,-0.3408654034137726,0.254542738199234,0.05527638190954774,-2.3977855649365982,0.9331837887244083
0.060301508754491806,-0.3419969379901886,0.2478601485490799,0.06030150753768844,-2.328154589049514,0.9146988087434349
0.06532663106918335,-0.3476083278656006,0.23480039834976196,0.06532663316582915,-2.2585236131624296,0.8962138287624614
0.07035175710916519,-0.34816959500312805,0.2283114492893219,0.07035175879396985,-2.1892934498293157,0.8771602017126611
0.07537688314914703,-0.3586379885673523,0.22160792350769043,0.07537688442211056,-2.1236085814342522,0.8530767382600838
0.08040200918912888,-0.37470903992652893,0.21816378831863403,0.08040201005025126,-2.0579237130391888,0.8289932748075065
0.08542713522911072,-0.37753787636756897,0.2140265256166458,0.08542713567839195,-1.992238844644125,0.8049098113549292
0.09045226126909256,-0.38038772344589233,0.21000026166439056,0.09045226130653267,-1.931298467136481,0.7838841516226366
0.0954773873090744,-0.37536221742630005,0.2072979360818863,0.09547738693467336,-1.8719067801203255,0.7638566161693895
0.10050251334905624,-0.37542062997817993,0.2029520571231842,0.10050251256281408,-1.8125150931041698,0.7438290807161424
0.10552763938903809,-0.3928442895412445,0.19733014702796936,0.10552763819095477,-1.7555502798260423,0.7243334973760264
0.11055276542901993,-0.40314534306526184,0.18983422219753265,0.11055276381909548,-1.7258890179155981,0.710822643121085
0.11557789146900177,-0.40150079131126404,0.18347661197185516,0.11557788944723618,-1.6962277560051542,0.6973117888661438
0.12060301750898361,-0.40442439913749695,0.18206574022769928,0.12060301507537688,-1.6665664940947102,0.6838009346112025
0.12562814354896545,-0.4028891324996948,0.18368442356586456,0.12562814070351758,-1.638120865458406,0.6701209750255763
0.1306532621383667,-0.4058043956756592,0.18212589621543884,0.1306532663316583,-1.6207111254306799,0.6549058258130657
0.13567839562892914,-0.40493643283843994,0.17888255417346954,0.135678391959799,-1.6033013854029536,0.6396906766005551
0.14070351421833038,-0.40899765491485596,0.1744331568479538,0.1407035175879397,-1.5858916453752276,0.6244755273880446
0.14572864770889282,-0.41018521785736084,0.16719426214694977,0.1457286432160804,-1.5684819053475014,0.6092603781755341
0.15075376629829407,-0.41684210300445557,0.15938134491443634,0.15075376884422112,-1.5427558416590328,0.5928992901248562
0.1557788997888565,-0.4215964078903198,0.15520396828651428,0.15577889447236182,-1.5152339354693958,0.5762907458960316
0.16080401837825775,-0.4324985146522522,0.15384584665298462,0.16080402010050251,-1.4877120292797588,0.5596822016672068
0.1658291518688202,-0.4458904564380646,0.1527874618768692,0.1658291457286432,-1.4601901230901215,0.5430736574383821
0.17085427045822144,-0.4767800569534302,0.1476423144340515,0.1708542713567839,-1.4368502557095184,0.5285829191010929
0.17587940394878387,-0.4862253665924072,0.14410212635993958,0.17587939698492464,-1.4249293621729633,0.5198748076562124
0.18090452253818512,-0.4957725405693054,0.14277367293834686,0.18090452261306533,-1.4130084686364082,0.5111666962113319
0.18592964112758636,-0.501446008682251,0.14336326718330383,0.18592964824120603,-1.4010875750998533,0.5024585847664513
0.1909547746181488,-0.5040876269340515,0.14075754582881927,0.19095477386934673,-1.3891666815632981,0.49375047332157085
0.19597989320755005,-0.5062354207038879,0.13889054954051971,0.19597989949748745,-1.3683715774682192,0.4825739851474998
0.2010050266981125,-0.5146522521972656,0.13560540974140167,0.20100502512562815,-1.3369108419560478,0.4684308334918204
0.20603014528751373,-0.5524476170539856,0.13301514089107513,0.20603015075376885,-1.3054501064438764,0.4542876818361411
0.21105527877807617,-0.5760810971260071,0.13092228770256042,0.21105527638190955,-1.2739893709317052,0.44014453018046173
0.21608039736747742,-0.6014984846115112,0.12922340631484985,0.21608040201005024,-1.2425286354195337,0.42600137852478237
0.22110553085803986,-0.6032397150993347,0.12518878281116486,0.22110552763819097,-1.2174203716696825,0.416333963724735
0.2261306494474411,-0.6461616158485413,0.12104875594377518,0.22613065326633167,-1.2018527611636396,0.4133885706743001
0.23115578293800354,-0.6429376006126404,0.12104718387126923,0.23115577889447236,-1.1862851506575967,0.4104431776238653
0.23618090152740479,-0.6342707872390747,0.11838988214731216,0.23618090452261306,-1.1707175401515537,0.4074977845734304
0.24120603501796722,-0.6087487936019897,0.11663548648357391,0.24120603015075376,-1.1551499296455108,0.40455239152299555
