x_les,Cp_upper_LES,Cp_lower_LES,x_inv,Cp_upper_inv,Cp_lower_inv
0.0,0.0361454151570797,0.2426067590713501,0.0,-25.23880415316457,-19.19035165588778
0.005025125574320555,-0.06630175560712814,0.3197418451309204,0.005025125628140704,-7.634815533740852,-2.1101106705065322
0.01005025114864111,-0.12799006700515747,0.342403382062912,0.010050251256281407,-5.9241795826765795,-0.1715526303256848
0.015075377188622952,-0.19880510866641998,0.34448128938674927,0.01507537688442211,-5.08851875756794,0.5369564856857431
0.02010050229728222,-0.24577213823795319,0.3385511338710785,0.020100502512562814,-4.289114467149889,0.8984453753041128
0.02512562833726406,-0.27514031529426575,0.3307128846645355,0.02512562814070352,-3.720847762250825,0.9504084926698297
0.030150754377245903,-0.29593852162361145,0.31517043709754944,0.03015075376884422,-3.181224000838738,0.998462038563456
0.035175878554582596,-0.3127232491970062,0.30103856325149536,0.035175879396984924,-3.0138839240886957,0.9957013350856342
0.04020100459456444,-0.3278873562812805,0.2944982647895813,0.04020100502512563,-2.846543847338654,0.9929406316078125
0.04522613063454628,-0.33324697613716125,0.28108808398246765,0.04522613065326633,-2.6914944950514363,0.9757585688234309
0.05025125667452812,-0.33923763036727905,0.2703852355480194,0.05025125628140704,-2.5400848262657796,0.9543058722210896
0.055276382714509964,-0.3395879566669464,0.26217663288116455,0.05527638190954774,-2.3977855649365982,0.9331837887244083
0.060301508754491806,-0.3422013223171234,0.2558097839355469,0.06030150753768844,-2.328154589049514,0.9146988087434349
0.06532663106918335,-0.3473303020000458,0.25742417573928833,0.06532663316582915,-2.2585236131624296,0.8962138287624614
0.07035175710916519,-0.34600144624710083,0.24512271583080292,0.07035175879396985,-2.1892934498293157,0.8771602017126611
0.07537688314914703,-0.34565621614456177,0.2347819209098816,0.07537688442211056,-2.1236085814342522,0.8530767382600838
0.08040200918912888,-0.3565419614315033,0.2284734845161438,0.08040201005025126,-2.0579237130391888,0.8289932748075065
0.08542713522911072,-0.36597105860710144,0.22397489845752716,0.08542713567839195,-1.992238844644125,0.8049098113549292
0.09045226126909256,-0.36556175351142883,0.21980004012584686,0.09045226130653267,-1.931298467136481,0.7838841516226366
