x_les,Cp_upper_LES,Cp_lower_LES,x_inv,Cp_upper_inv,Cp_lower_inv
0.0,0.06960894167423248,0.1917763203382492,0.0,-25.23880415316457,-19.19035165588778
0.005025125574320555,-0.0455983504652977,0.27519863843917847,0.005025125628140704,-7.634815533740852,-2.1101106705065322
0.01005025114864111,-0.1262504756450653,0.3057379722595215,0.010050251256281407,-5.9241795826765795,-0.1715526303256848
0.015075377188622952,-0.18557699024677277,0.31668320298194885,0.01507537688442211,-5.08851875756794,0.5369564856857431
0.02010050229728222,-0.22513481974601746,0.31594762206077576,0.020100502512562814,-4.289114467149889,0.8984453753041128
0.02512562833726406,-0.261839359998703,0.3083012104034424,0.02512562814070352,-3.720847762250825,0.9504084926698297
0.030150754377245903,-0.27596375346183777,0.29734188318252563,0.03015075376884422,-3.181224000838738,0.998462038563456
0.035175878554582596,-0.29564428329467773,0.2895049452781677,0.035175879396984924,-3.0138839240886957,0.9957013350856342
0.04020100459456444,-0.31028130650520325,0.28074169158935547,0.04020100502512563,-2.846543847338654,0.9929406316078125
0.04522613063454628,-0.31549057364463806,0.2714543044567108,0.04522613065326633,-2.6914944950514363,0.9757585688234309
0.05025125667452812,-0.3291654884815216,0.2622869908809662,0.05025125628140704,-2.5400848262657796,0.9543058722210896
0.055276382714509964,-0.3409416079521179,0.2544890344142914,0.05527638190954774,-2.3977855649365982,0.9331837887244083
0.060301508754491806,-0.3420778214931488,0.24781036376953125,0.06030150753768844,-2.328154589049514,0.9146988087434349
0.06532663106918335,-0.3476865291595459,0.23475036025047302,0.06532663316582915,-2.2585236131624296,0.8962138287624614
0.07035175710916519,-0.3482482135295868,0.22826409339904785,0.07035175879396985,-2.1892934498293157,0.8771602017126611
0.07537688314914703,-0.35872724652290344,0.22156062722206116,0.07537688442211056,-2.1236085814342522,0.8530767382600838
0.08040200918912888,-0.3748109042644501,0.21811917424201965,0.08040201005025126,-2.0579237130391888,0.8289932748075065
0.08542713522911072,-0.3776468336582184,0.21398372948169708,0.08542713567839195,-1.992238844644125,0.8049098113549292
0.09045226126909256,-0.38050296902656555,0.20995782315731049,0.09045226130653267,-1.931298467136481,0.7838841516226366
0.0954773873090744,-0.3754786252975464,0.20725321769714355,0.09547738693467336,-1.8719067801203255,0.7638566161693895
0.10050251334905624,-0.37553834915161133,0.2029055505990982,0.10050251256281408,-1.8125150931041698,0.7438290807161424
0.10552763938903809,-0.39293962717056274,0.19728216528892517,0.10552763819095477,-1.7555502798260423,0.7243334973760264
0.11055276542901993,-0.40320178866386414,0.18978866934776306,0.11055276381909548,-1.7258890179155981,0.710822643121085
0.11557789146900177,-0.4015596807003021,0.18343178927898407,0.11557788944723618,-1.6962277560051542,0.6973117888661438
