case_id,base_case_id,group,family,status,description,alpha_deg,Re,dx_min,iteraciones,discard_frac,usar_wale,wale_Cw,projection_label,projection_variant,usar_adjoint_correction,usar_flujo_inclinado,flujo_inclinado_signo,flujo_inclinado_angulo_deg,flujo_inclinado_bc,nx,ny,n_cells,Cl_mean,Cl_final,Cl_std,Cd_mean,Cd_final,Cd_std,Ef_mean,Ef_final,Cl_p,Cl_v,Cd_p,Cd_v,Cl_from_Cp_LES,Cl_bl,Cd_bl,Ef_bl,Cl_inviscid,Cl_final_over_inviscid,Cl_from_Cp_LES_over_inviscid,Cl_final_minus_Cp_LES,lift_probable_cause,div_mean,div_final,div_max_mean,div_max_final,div_flux_mean,div_flux_final,div_flux_max,div_flux_max_final,wall_leak_mean,wall_leak_mean_final,wall_leak_max,wall_leak_max_final,projection_compat_error,mg_cycles_mean,mg_cycles_max,nu_t_over_nu_mean,nu_t_over_nu_max,elapsed_s,its_per_s,field_velocity_final,field_vectors_final,field_zoom_final,field_frames_dir,diagnosis_hint,Cd_final_d30,Cd_final_d50,Cd_final_d70,Cd_mean_d30,Cd_mean_d50,Cd_mean_d70,Cd_p_bl,Cd_std_d30,Cd_std_d50,Cd_std_d70,Cd_visc_bl,Cl_final_d30,Cl_final_d50,Cl_final_d70,Cl_mean_d30,Cl_mean_d50,Cl_mean_d70,Cl_std_d30,Cl_std_d50,Cl_std_d70,bl_separated,bl_warn,cp_csv,guardado,mg_cycles_sum,surface_Fy_bias_from_pmean,surface_Fy_pressure,surface_Fy_te,surface_Fy_total,surface_Fy_viscous,surface_closure_nx_rel,surface_closure_ny_rel,surface_p_wall_mean,surface_perimeter_diff_rel,surface_te_share_abs_percent,trans_x_lower,trans_x_upper,x_sep_lower,x_sep_upper
reduced_fixed_flow_a5__pv_legacy,reduced_fixed_flow_a5,reduced_compare,fixed_flow,ok,"Perfil fijo + flujo inclinado +alpha, alpha=5 [legacy]",5.0,1000000.0,0.001,2000,0.3,True,0.15,turbo_hd__pv_legacy,legacy_centered,False,True,1.0,nan,auto_farfield,1479,1203,1779237,0.032014144850628715,0.03749565780162811,0.0032229836285671697,0.047631467027323585,0.04598309099674225,0.0018709162382390062,0.6721217474209631,0.8154227345065723,0.0386434276380537,-9.87662747682025e-05,0.04394268369286929,0.002107681296324697,0.0725597689904458,0.0725597689904458,0.05216392028642202,1.3909953199842748,0.6016934005472032,0.06231688392714315,0.12059259570481769,-0.03506411118881769,pressure_field_low_lift,0.1607224904000759,0.15553158521652222,105.8678526197161,104.73939514160156,0.2675205948097365,0.26083287596702576,360.81180245535717,358.24664306640625,2.484935868185545e-10,2.6541618902697905e-10,2.2351741790771484e-08,2.9802322387695312e-08,0.006254265507386674,20.0,20.0,0.0011900305980816483,2.770561456680298,234.61115217208862,8.524743949652438,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a5__pv_legacy/velocity_full_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a5__pv_legacy/velocity_vectors_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a5__pv_legacy/velocity_zoom_airfoil_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a5__pv_legacy/frames,,0.04598309099674225,0.04598309099674225,0.04598309099674225,0.047631467027323585,0.04661013800650835,0.046185942677160106,0.04394268369286929,0.0018709162382390062,0.0007248951557313065,0.0002831178763631395,0.008221236593552726,0.03749565780162811,0.03749565780162811,0.03749565780162811,0.032014144850628715,0.032842311263084414,0.03510595578700304,0.0032229836285671697,0.003159352350025812,0.0015469358687670819,True,"sep_masiva: x_sep_u=0.95 x_sep_l=0.02 — Cd_visc=0, usando solo Cd_p_LES",results/diagnosticos/diagnostico_lift_naca0012/cp_reduced_fixed_flow_a5__pv_legacy.csv,50,40000.0,-1.2729310938652816e-08,0.021163117482349277,-0.005919732250791576,0.02120577052714036,4.2653044791084985e-05,0.0022004802986314775,5.321842694419154e-08,-0.10678119957447052,0.0,15.88785121715124,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.9547738693467337
reduced_rotated_geom_a5__pv_legacy,reduced_rotated_geom_a5,reduced_compare,rotated_geom,ok,"Geometria girada + flujo horizontal, alpha=5 [legacy]",5.0,1000000.0,0.001,2000,0.3,True,0.15,turbo_hd__pv_legacy,legacy_centered,False,False,nan,nan,,1479,1203,1779237,0.346210105078561,0.3596935570240021,0.00669380341203581,0.07121623866260052,0.07035186886787415,0.0015086157750541132,4.861392732615273,5.1127789895607805,0.3606819333913194,-0.0014278574210566312,0.06835823705014728,0.002008654738778067,0.3673887809857069,0.3673887809857069,0.0765794736437,4.797483757789331,0.6016934005472032,0.5978020644681874,0.6105913421214015,-0.0076952239617048,geometry_ibm_bias,0.15780210069247655,0.14675959944725037,145.21326664515905,149.72921752929688,0.2695783738579069,0.25502100586891174,497.5312761579241,509.961669921875,4.0755340074971613e-10,3.911564960823455e-10,2.3416110447474888e-08,1.4901161193847656e-08,0.0062783781242087685,20.0,20.0,0.0012874118983745575,3.960031747817993,234.1483895778656,8.54159195203392,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a5__pv_legacy/velocity_full_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a5__pv_legacy/velocity_vectors_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a5__pv_legacy/velocity_zoom_airfoil_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a5__pv_legacy/frames,,0.07035186886787415,0.07035186886787415,0.07035186886787415,0.07121623866260052,0.07043788619339467,0.07041377015411854,0.06835823705014728,0.0015086157750541132,0.00020444599203860698,0.00014527081654049375,0.008221236593552726,0.3596935570240021,0.3596935570240021,0.3596935570240021,0.346210105078561,0.3485489830374718,0.35279133170843124,0.00669380341203581,0.006498394883636058,0.004759962721541941,True,"sep_masiva: x_sep_u=0.95 x_sep_l=0.02 — Cd_visc=0, usando solo Cd_p_LES",results/diagnosticos/diagnostico_lift_naca0012/cp_reduced_rotated_geom_a5__pv_legacy.csv,50,40000.0,0.0035200778744997052,0.18034096669565972,0.013688863433449015,0.17962703798513135,-0.0007139287105283156,0.001736178664529462,0.013488131704342531,-0.11476513743400574,0.014072094669573262,8.174179043935636,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.9547738693467337
reduced_fixed_flow_a10__pv_legacy,reduced_fixed_flow_a10,reduced_compare,fixed_flow,ok,"Perfil fijo + flujo inclinado +alpha, alpha=10 [legacy]",10.0,1000000.0,0.001,2000,0.3,True,0.15,turbo_hd__pv_legacy,legacy_centered,False,True,1.0,nan,auto_farfield,1479,1203,1779237,0.06781973264047078,0.07774258404970169,0.006474429294061124,0.05230255065751927,0.05145493149757385,0.0021602668655741563,1.296681171145153,1.510886940999374,0.07867898596579129,-0.00019036133735842554,0.04944275726721306,0.0020795844633154565,0.14601788188956688,0.14601788188956688,0.04944275726721306,2.953271418509574,1.1715583823650346,0.06635826709101948,0.1246355999730883,-0.06827529783986519,pressure_field_low_lift,0.16562927354659354,0.16062182188034058,112.69316809517997,109.37452697753906,0.27274844369718004,0.26712706685066223,374.30026572091236,369.6886901855469,2.7393935284852107e-10,2.737424731336091e-10,2.3416110447474888e-08,2.9802322387695312e-08,0.006254265507386674,20.0,20.0,0.0011797061888501048,2.8719749450683594,233.3029899597168,8.572543370941494,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a10__pv_legacy/velocity_full_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a10__pv_legacy/velocity_vectors_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a10__pv_legacy/velocity_zoom_airfoil_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_fixed_flow_a10__pv_legacy/frames,geometria/panel ok; LES pierde succion/lift,0.05145493149757385,0.05145493149757385,0.05145493149757385,0.05230255065751927,0.05121996402740479,0.05126500471184651,0.04944275726721306,0.0021602668655741563,0.0008351468210628059,0.00037957081857267674,0.0,0.07774258404970169,0.07774258404970169,0.07774258404970169,0.06781973264047078,0.06968182493001222,0.0740951814999183,0.006474429294061124,0.006425498652867863,0.003785502491577706,True,"sep_masiva: x_sep_u=0.03 x_sep_l=0.02 — Cd_visc=0, usando solo Cd_p_LES",results/diagnosticos/diagnostico_lift_naca0012/cp_reduced_fixed_flow_a10__pv_legacy.csv,50,40000.0,-1.290768825157329e-08,0.04303466003826495,-0.011046492837377683,0.04312148340399237,8.682336572742022e-05,0.0022004802986314775,5.321842694419154e-08,-0.10827753692865372,0.0,15.24836638123686,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.02512562814070352
reduced_rotated_geom_a10__pv_legacy,reduced_rotated_geom_a10,reduced_compare,rotated_geom,ok,"Geometria girada + flujo horizontal, alpha=10 [legacy]",10.0,1000000.0,0.001,2000,0.3,True,0.15,turbo_hd__pv_legacy,legacy_centered,False,False,nan,nan,,1479,1203,1779237,0.4913319487656866,0.48478248715400696,0.01599757120650699,0.09764809108206204,0.10057041049003601,0.0024983148655894037,5.031659537028515,4.820329208082895,0.4889485502653948,-0.0018852586988223445,0.09986195769470782,0.0016308026379329398,0.5530754592011518,0.5530754592011518,0.09986195769470782,5.538399926946975,1.1715583823650346,0.41379285441616026,0.4720852733644001,-0.0682929720471448,pressure_field_low_lift,0.1353064738214016,0.1283525973558426,180.49573244367326,192.37509155273438,0.23520798981189728,0.22864669561386108,552.0825326102121,564.7353515625,4.4164060603035793e-10,3.963021855124538e-10,2.927013805934361e-08,2.9802322387695312e-08,0.0063131185645806664,20.0,20.0,0.001274413662031293,4.3683295249938965,235.00576066970825,8.51042967755554,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a10__pv_legacy/velocity_full_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a10__pv_legacy/velocity_vectors_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a10__pv_legacy/velocity_zoom_airfoil_final.png,results/diagnosticos/diagnostico_lift_naca0012/fields/reduced_rotated_geom_a10__pv_legacy/frames,geometria/panel ok; LES pierde succion/lift,0.10057041049003601,0.10057041049003601,0.10057041049003601,0.09764809108206204,0.09660198502242565,0.0965792133162419,0.09986195769470782,0.0024983148655894037,0.0015018195516337388,0.00191445842658957,0.0,0.48478248715400696,0.48478248715400696,0.48478248715400696,0.4913319487656866,0.48317821472883227,0.47676172355810803,0.01599757120650699,0.009369541175268049,0.005930086772400367,True,"sep_masiva: x_sep_u=0.03 x_sep_l=0.02 — Cd_visc=0, usando solo Cd_p_LES",results/diagnosticos/diagnostico_lift_naca0012/cp_reduced_rotated_geom_a10__pv_legacy.csv,50,40000.0,0.003758839578604345,0.2444742751326974,0.0016736190930618454,0.24353164578328623,-0.0009426293494111721,0.0015949851938691082,0.01569766208418194,-0.10146276652812958,0.01610168549768855,1.06480397957281,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.02512562814070352
