alpha_deg,nx,ny,Cd_mean,Cl_mean,Ef_mean,Cd_final,Cl_final,Ef_final,Cd_std,Cl_std,Cd_p,Cd_v,Cl_p,Cl_v,Drag,Lift,n_muestras_cd,n_muestras_cl,elapsed_s
-10.0,1385,1147,0.14903890075428144,-0.46668868511915207,-3.1313213044195476,0.1430443525314331,-0.4434027373790741,-3.0997570301255974,0.007095758875988404,0.03042725250478977,0.13128278763945844,0.012376613956270925,-0.4571614201559149,0.010580724449814477,0.07182970079786469,-0.2232903478530502,28,28,365.1964485645294
-9.0,1385,1147,0.1394056028553418,-0.42344506084918976,-3.037503889198698,0.12605345249176025,-0.36437612771987915,-2.890647741232612,0.009740278240792518,0.04370026646532805,0.11190212909857208,0.013491173931771225,-0.3719279047834808,0.009842646370999422,0.06269665151517165,-0.1810426292062407,28,28,366.18306183815
-8.0,1385,1147,0.12878551493797982,-0.36165576215301243,-2.808202167201627,0.11057621985673904,-0.2871737480163574,-2.5970660634665896,0.012376140783909906,0.05678078461337486,0.09534071570850176,0.014702971395021809,-0.29247557438965766,0.009384891937832712,0.05502184355176179,-0.14154534122591247,28,28,367.48744201660156
-7.0,1385,1147,0.10234256594308785,-0.24723028551254952,-2.415713180867802,0.08930753171443939,-0.1924457997083664,-2.154866403918892,0.009373725706700139,0.04497915838605188,0.07263538440826318,0.01529732190336496,-0.19470763146997264,0.006992876593128345,0.04396635315581407,-0.09385737743842215,28,28,362.1506621837616
-6.0,1385,1147,0.08289696196360248,-0.13979627910469258,-1.6863860362708207,0.0737045481801033,-0.08918946981430054,-1.2100945194909616,0.0072537994077191015,0.043905483270362596,0.0587031209053802,0.015144221330081292,-0.09403934220170616,0.004428271609699351,0.03692367111773075,-0.04480553529600341,28,28,359.76600098609924
-5.0,1385,1147,0.07038461789488792,-0.0462112968920597,-0.656553921498465,0.0640827864408493,-0.013114549219608307,-0.20465010883559975,0.004844737233161835,0.03348139558103076,0.0484840613991056,0.015543804639340611,-0.01577373997440775,0.002585476595959577,0.032013933019223104,-0.006594131689224087,28,28,359.3165099620819
-4.0,1385,1147,0.06674423294940166,0.034461854404071346,0.5163270724857478,0.059499941766262054,0.07486976683139801,1.258316640468563,0.00511463808827182,0.03395781733705631,0.04295043918743275,0.016021461527328407,0.07607611616986704,0.0005369856610352845,0.02948595035738058,0.03830655091545116,28,28,360.2330107688904
-3.0,1385,1147,0.06396160261439425,0.10949540291247624,1.711892736218508,0.055645089596509933,0.1572369635105133,2.8257113907203633,0.005660665294114056,0.0366765124592235,0.039269912494503845,0.01601996247899647,0.15999033608035573,-0.00141765358523217,0.027644937486750155,0.07928634124756179,28,28,356.4764220714569
-2.0,1385,1147,0.05842855399740594,0.1753387749195099,3.0009090234766793,0.051324695348739624,0.20891863107681274,4.070528420232369,0.004508056404276765,0.026889191422441616,0.03563829725797031,0.015376963938929976,0.21460328998563705,-0.0031529134945595953,0.025507630598450143,0.10572518824553873,28,28,354.1459810733795
-1.0,1385,1147,0.06309345151696887,0.24667366381202424,3.909655564582353,0.05714869499206543,0.28013360500335693,4.901837304285792,0.003943613258399099,0.02250782174952266,0.041388585719194904,0.015450891868443745,0.28696217451967426,-0.00433738596348823,0.028419738793819323,0.14131239427809303,28,28,358.54330039024353
0.0,1385,1147,0.061903715665851324,0.3009480493409293,4.8615506533632,0.056738194078207016,0.33324310183525085,5.873346997543029,0.0033580947651419032,0.021747053957592948,0.04138681903585597,0.015012254799711763,0.339708023772516,-0.005725030654590214,0.028199536917783867,0.1669914965589629,28,28,357.6668162345886
1.0,1385,1147,0.06731506969247546,0.3669959083199501,5.451913070825704,0.062271371483802795,0.3922640085220337,6.299267210198899,0.003097178694775425,0.01956457870949286,0.046874652621287406,0.015027595675126456,0.3999372629361286,-0.007170678012365771,0.03095112414820693,0.1963832924618814,28,28,354.6586022377014
2.0,1385,1147,0.07801842928997108,0.44519021255629404,5.706218602551657,0.07439214736223221,0.45981839299201965,6.18100712637128,0.0022672788850338355,0.015602493000930575,0.05722923802514963,0.016946605513570648,0.46832927737390695,-0.00886106326705701,0.03708792176936014,0.22973410705342498,28,28,358.84720492362976
3.0,1385,1147,0.09471815718071801,0.5286196832145963,5.580975168319772,0.09169995039701462,0.5377438068389893,5.864166823546025,0.0020387699972332913,0.011030461135690195,0.07411035050049206,0.017318222487649353,0.5464122313244633,-0.010534091091768769,0.04571428649407071,0.26793907011634727,28,28,356.9699249267578
4.0,1385,1147,0.10034382023981639,0.5734828923429761,5.715178981350147,0.09607131779193878,0.5703825354576111,5.937074129584502,0.002859034003411898,0.0052670809891471534,0.07866041551656053,0.017225119545358353,0.581515254920127,-0.011647204026321698,0.04794276753095944,0.28493402544690266,28,28,362.5072994232178
5.0,1385,1147,0.10891114867159299,0.6267500732626233,5.7546916078582955,0.10412940382957458,0.6266016364097595,6.017528319237276,0.003227808995870579,0.006591484817560185,0.08705713583649827,0.01678287520058559,0.6389678619466662,-0.013086953007696103,0.05192000551854193,0.31294045446948504,28,28,367.0503487586975
6.0,1385,1147,0.11327803720320974,0.6572400310209819,5.8020075845943335,0.10650011152029037,0.654312789440155,6.14377562708463,0.004640355788547438,0.005865588522119706,0.09075807841427228,0.015155190370856582,0.6654894860176128,-0.013470226251630487,0.05295663439256443,0.32600962988299115,28,28,369.8699383735657
